,code,imortance,work_style
6545,47-4051.00,72,Concern for Others — Job requires being sensitive to others' needs and feelings and being understanding and helpful on the job.
6546,47-4051.00,69,Integrity — Job requires being honest and ethical.
6547,47-4051.00,67,Attention to Detail — Job requires being careful about detail and thorough in completing work tasks.
6548,47-4051.00,66,"Cooperation — Job requires being pleasant with others on the job and displaying a good-natured, cooperative attitude."
6549,47-4051.00,65,"Self-Control — Job requires maintaining composure, keeping emotions in check, controlling anger, and avoiding aggressive behavior, even in very difficult situations."
6550,47-4051.00,58,Adaptability/Flexibility — Job requires being open to change (positive or negative) and to considerable variety in the workplace.
6551,47-4051.00,58,Initiative — Job requires a willingness to take on responsibilities and challenges.
6552,47-4051.00,57,Persistence — Job requires persistence in the face of obstacles.
6553,47-4051.00,56,Achievement/Effort — Job requires establishing and maintaining personally challenging achievement goals and exerting effort toward mastering tasks.
6554,47-4051.00,55,Stress Tolerance — Job requires accepting criticism and dealing calmly and effectively with high-stress situations.
6555,47-4051.00,54,Analytical Thinking — Job requires analyzing information and using logic to address work-related issues and problems.
6556,47-4051.00,54,"Social Orientation — Job requires preferring to work with others rather than alone, and being personally connected with others on the job."
6557,47-4051.00,53,"Independence — Job requires developing one's own ways of doing things, guiding oneself with little or no supervision, and depending on oneself to get things done."
6558,47-4051.00,51,"Leadership — Job requires a willingness to lead, take charge, and offer opinions and direction."
6559,47-4051.00,49,Innovation — Job requires creativity and alternative thinking to develop new ideas for and answers to work-related problems.
6560,19-3093.00,88,Integrity — Job requires being honest and ethical.
6561,19-3093.00,87,"Cooperation — Job requires being pleasant with others on the job and displaying a good-natured, cooperative attitude."
6562,19-3093.00,78,Attention to Detail — Job requires being careful about detail and thorough in completing work tasks.
6563,19-3093.00,77,Concern for Others — Job requires being sensitive to others' needs and feelings and being understanding and helpful on the job.
6564,19-3093.00,77,"Dependability — Job requires being reliable, responsible, and dependable, and fulfilling obligations."
6565,19-3093.00,73,Adaptability/Flexibility — Job requires being open to change (positive or negative) and to considerable variety in the workplace.
6566,19-3093.00,73,Initiative — Job requires a willingness to take on responsibilities and challenges.
6567,19-3093.00,73,"Social Orientation — Job requires preferring to work with others rather than alone, and being personally connected with others on the job."
6568,19-3093.00,72,"Self-Control — Job requires maintaining composure, keeping emotions in check, controlling anger, and avoiding aggressive behavior, even in very difficult situations."
6569,19-3093.00,70,"Independence — Job requires developing one's own ways of doing things, guiding oneself with little or no supervision, and depending on oneself to get things done."
6570,19-3093.00,64,"Leadership — Job requires a willingness to lead, take charge, and offer opinions and direction."
6571,19-3093.00,63,Analytical Thinking — Job requires analyzing information and using logic to address work-related issues and problems.
6572,19-3093.00,62,Innovation — Job requires creativity and alternative thinking to develop new ideas for and answers to work-related problems.
6573,19-3093.00,60,Persistence — Job requires persistence in the face of obstacles.
6574,19-3093.00,57,Achievement/Effort — Job requires establishing and maintaining personally challenging achievement goals and exerting effort toward mastering tasks.
6575,19-3093.00,55,Stress Tolerance — Job requires accepting criticism and dealing calmly and effectively with high-stress situations.
6576,25-1125.00,92,Analytical Thinking — Job requires analyzing information and using logic to address work-related issues and problems.
6577,25-1125.00,91,Attention to Detail — Job requires being careful about detail and thorough in completing work tasks.
6578,25-1125.00,91,Persistence — Job requires persistence in the face of obstacles.
6579,25-1125.00,89,"Independence — Job requires developing one's own ways of doing things, guiding oneself with little or no supervision, and depending on oneself to get things done."
6580,25-1125.00,87,Achievement/Effort — Job requires establishing and maintaining personally challenging achievement goals and exerting effort toward mastering tasks.
6581,25-1125.00,87,Concern for Others — Job requires being sensitive to others' needs and feelings and being understanding and helpful on the job.
6582,25-1125.00,84,Initiative — Job requires a willingness to take on responsibilities and challenges.
6583,25-1125.00,84,"Self-Control — Job requires maintaining composure, keeping emotions in check, controlling anger, and avoiding aggressive behavior, even in very difficult situations."
6584,25-1125.00,83,"Dependability — Job requires being reliable, responsible, and dependable, and fulfilling obligations."
6585,25-1125.00,81,"Cooperation — Job requires being pleasant with others on the job and displaying a good-natured, cooperative attitude."
6586,25-1125.00,80,Innovation — Job requires creativity and alternative thinking to develop new ideas for and answers to work-related problems.
6587,25-1125.00,79,Integrity — Job requires being honest and ethical.
6588,25-1125.00,79,"Leadership — Job requires a willingness to lead, take charge, and offer opinions and direction."
6589,25-1125.00,77,Adaptability/Flexibility — Job requires being open to change (positive or negative) and to considerable variety in the workplace.
6590,25-1125.00,76,Stress Tolerance — Job requires accepting criticism and dealing calmly and effectively with high-stress situations.
6591,25-1125.00,65,"Social Orientation — Job requires preferring to work with others rather than alone, and being personally connected with others on the job."
6592,53-7041.00,79,"Independence — Job requires developing one's own ways of doing things, guiding oneself with little or no supervision, and depending on oneself to get things done."
6593,53-7041.00,79,Initiative — Job requires a willingness to take on responsibilities and challenges.
6594,53-7041.00,78,"Dependability — Job requires being reliable, responsible, and dependable, and fulfilling obligations."
6595,53-7041.00,76,Attention to Detail — Job requires being careful about detail and thorough in completing work tasks.
6596,53-7041.00,74,"Cooperation — Job requires being pleasant with others on the job and displaying a good-natured, cooperative attitude."
6597,53-7041.00,71,Persistence — Job requires persistence in the face of obstacles.
6598,53-7041.00,68,Concern for Others — Job requires being sensitive to others' needs and feelings and being understanding and helpful on the job.
6599,53-7041.00,67,Adaptability/Flexibility — Job requires being open to change (positive or negative) and to considerable variety in the workplace.
6600,53-7041.00,65,Stress Tolerance — Job requires accepting criticism and dealing calmly and effectively with high-stress situations.
6601,53-7041.00,62,"Self-Control — Job requires maintaining composure, keeping emotions in check, controlling anger, and avoiding aggressive behavior, even in very difficult situations."
6602,53-7041.00,60,Achievement/Effort — Job requires establishing and maintaining personally challenging achievement goals and exerting effort toward mastering tasks.
6603,53-7041.00,57,Analytical Thinking — Job requires analyzing information and using logic to address work-related issues and problems.
6604,53-7041.00,52,Innovation — Job requires creativity and alternative thinking to develop new ideas for and answers to work-related problems.
6605,53-7041.00,51,Integrity — Job requires being honest and ethical.
6606,53-7041.00,49,"Leadership — Job requires a willingness to lead, take charge, and offer opinions and direction."
6607,53-7041.00,49,"Social Orientation — Job requires preferring to work with others rather than alone, and being personally connected with others on the job."
6608,49-9031.00,91,Integrity — Job requires being honest and ethical.
6609,49-9031.00,87,Attention to Detail — Job requires being careful about detail and thorough in completing work tasks.
6610,49-9031.00,85,"Dependability — Job requires being reliable, responsible, and dependable, and fulfilling obligations."
6611,49-9031.00,81,"Cooperation — Job requires being pleasant with others on the job and displaying a good-natured, cooperative attitude."
6612,49-9031.00,75,Analytical Thinking — Job requires analyzing information and using logic to address work-related issues and problems.
6613,49-9031.00,75,"Independence — Job requires developing one's own ways of doing things, guiding oneself with little or no supervision, and depending on oneself to get things done."
6614,49-9031.00,74,"Self-Control — Job requires maintaining composure, keeping emotions in check, controlling anger, and avoiding aggressive behavior, even in very difficult situations."
6615,49-9031.00,72,Persistence — Job requires persistence in the face of obstacles.
6616,49-9031.00,71,Concern for Others — Job requires being sensitive to others' needs and feelings and being understanding and helpful on the job.
6617,49-9031.00,71,Initiative — Job requires a willingness to take on responsibilities and challenges.
6618,49-9031.00,71,Stress Tolerance — Job requires accepting criticism and dealing calmly and effectively with high-stress situations.
6619,49-9031.00,67,Adaptability/Flexibility — Job requires being open to change (positive or negative) and to considerable variety in the workplace.
6620,49-9031.00,65,Achievement/Effort — Job requires establishing and maintaining personally challenging achievement goals and exerting effort toward mastering tasks.
6621,49-9031.00,61,"Leadership — Job requires a willingness to lead, take charge, and offer opinions and direction."
6622,49-9031.00,50,Innovation — Job requires creativity and alternative thinking to develop new ideas for and answers to work-related problems.
6623,49-9031.00,40,"Social Orientation — Job requires preferring to work with others rather than alone, and being personally connected with others on the job."
6624,31-1121.00,91,Integrity — Job requires being honest and ethical.
6625,31-1121.00,90,"Dependability — Job requires being reliable, responsible, and dependable, and fulfilling obligations."
6626,31-1121.00,90,"Self-Control — Job requires maintaining composure, keeping emotions in check, controlling anger, and avoiding aggressive behavior, even in very difficult situations."
6627,31-1121.00,88,Concern for Others — Job requires being sensitive to others' needs and feelings and being understanding and helpful on the job.
6628,31-1121.00,87,Attention to Detail — Job requires being careful about detail and thorough in completing work tasks.
6629,31-1121.00,85,"Cooperation — Job requires being pleasant with others on the job and displaying a good-natured, cooperative attitude."
6630,31-1121.00,84,Stress Tolerance — Job requires accepting criticism and dealing calmly and effectively with high-stress situations.
6631,31-1121.00,80,Adaptability/Flexibility — Job requires being open to change (positive or negative) and to considerable variety in the workplace.
6632,31-1121.00,79,"Independence — Job requires developing one's own ways of doing things, guiding oneself with little or no supervision, and depending on oneself to get things done."
6633,31-1121.00,79,"Social Orientation — Job requires preferring to work with others rather than alone, and being personally connected with others on the job."
6634,31-1121.00,65,Achievement/Effort — Job requires establishing and maintaining personally challenging achievement goals and exerting effort toward mastering tasks.
6635,31-1121.00,65,Persistence — Job requires persistence in the face of obstacles.
6636,31-1121.00,61,Initiative — Job requires a willingness to take on responsibilities and challenges.
6637,31-1121.00,58,Analytical Thinking — Job requires analyzing information and using logic to address work-related issues and problems.
6638,31-1121.00,58,"Leadership — Job requires a willingness to lead, take charge, and offer opinions and direction."
6639,31-1121.00,57,Innovation — Job requires creativity and alternative thinking to develop new ideas for and answers to work-related problems.
6640,29-1229.02,97,Integrity — Job requires being honest and ethical.
6641,29-1229.02,95,"Dependability — Job requires being reliable, responsible, and dependable, and fulfilling obligations."
6642,29-1229.02,93,Attention to Detail — Job requires being careful about detail and thorough in completing work tasks.
6643,29-1229.02,92,Concern for Others — Job requires being sensitive to others' needs and feelings and being understanding and helpful on the job.
6644,29-1229.02,92,Stress Tolerance — Job requires accepting criticism and dealing calmly and effectively with high-stress situations.
6645,29-1229.02,89,"Self-Control — Job requires maintaining composure, keeping emotions in check, controlling anger, and avoiding aggressive behavior, even in very difficult situations."
6646,29-1229.02,85,"Cooperation — Job requires being pleasant with others on the job and displaying a good-natured, cooperative attitude."
6647,29-1229.02,84,Analytical Thinking — Job requires analyzing information and using logic to address work-related issues and problems.
6648,29-1229.02,84,"Social Orientation — Job requires preferring to work with others rather than alone, and being personally connected with others on the job."
6649,29-1229.02,83,Adaptability/Flexibility — Job requires being open to change (positive or negative) and to considerable variety in the workplace.
6650,29-1229.02,79,Persistence — Job requires persistence in the face of obstacles.
6651,29-1229.02,78,Achievement/Effort — Job requires establishing and maintaining personally challenging achievement goals and exerting effort toward mastering tasks.
6652,29-1229.02,76,"Independence — Job requires developing one's own ways of doing things, guiding oneself with little or no supervision, and depending on oneself to get things done."
6653,29-1229.02,76,Initiative — Job requires a willingness to take on responsibilities and challenges.
6654,29-1229.02,72,"Leadership — Job requires a willingness to lead, take charge, and offer opinions and direction."
6655,29-1229.02,53,Innovation — Job requires creativity and alternative thinking to develop new ideas for and answers to work-related problems.
6656,35-9031.00,82,"Cooperation — Job requires being pleasant with others on the job and displaying a good-natured, cooperative attitude."
6657,35-9031.00,78,Stress Tolerance — Job requires accepting criticism and dealing calmly and effectively with high-stress situations.
6658,35-9031.00,77,"Self-Control — Job requires maintaining composure, keeping emotions in check, controlling anger, and avoiding aggressive behavior, even in very difficult situations."
6659,35-9031.00,75,"Dependability — Job requires being reliable, responsible, and dependable, and fulfilling obligations."
6660,35-9031.00,73,"Social Orientation — Job requires preferring to work with others rather than alone, and being personally connected with others on the job."
6661,35-9031.00,72,Adaptability/Flexibility — Job requires being open to change (positive or negative) and to considerable variety in the workplace.
6662,35-9031.00,71,Integrity — Job requires being honest and ethical.
6663,35-9031.00,70,Concern for Others — Job requires being sensitive to others' needs and feelings and being understanding and helpful on the job.
6664,35-9031.00,67,Attention to Detail — Job requires being careful about detail and thorough in completing work tasks.
6665,35-9031.00,64,Initiative — Job requires a willingness to take on responsibilities and challenges.
6666,35-9031.00,54,Achievement/Effort — Job requires establishing and maintaining personally challenging achievement goals and exerting effort toward mastering tasks.
6667,35-9031.00,50,"Leadership — Job requires a willingness to lead, take charge, and offer opinions and direction."
6668,35-9031.00,49,"Independence — Job requires developing one's own ways of doing things, guiding oneself with little or no supervision, and depending on oneself to get things done."
6669,35-9031.00,49,Persistence — Job requires persistence in the face of obstacles.
6670,35-9031.00,37,Analytical Thinking — Job requires analyzing information and using logic to address work-related issues and problems.
6671,35-9031.00,31,Innovation — Job requires creativity and alternative thinking to develop new ideas for and answers to work-related problems.
6672,43-4081.00,90,Attention to Detail — Job requires being careful about detail and thorough in completing work tasks.
6673,43-4081.00,90,Concern for Others — Job requires being sensitive to others' needs and feelings and being understanding and helpful on the job.
6674,43-4081.00,90,"Dependability — Job requires being reliable, responsible, and dependable, and fulfilling obligations."
6675,43-4081.00,88,Integrity — Job requires being honest and ethical.
6676,43-4081.00,88,"Self-Control — Job requires maintaining composure, keeping emotions in check, controlling anger, and avoiding aggressive behavior, even in very difficult situations."
6677,43-4081.00,87,Stress Tolerance — Job requires accepting criticism and dealing calmly and effectively with high-stress situations.
6678,43-4081.00,83,"Cooperation — Job requires being pleasant with others on the job and displaying a good-natured, cooperative attitude."
6679,43-4081.00,78,Adaptability/Flexibility — Job requires being open to change (positive or negative) and to considerable variety in the workplace.
6680,43-4081.00,77,"Independence — Job requires developing one's own ways of doing things, guiding oneself with little or no supervision, and depending on oneself to get things done."
6681,43-4081.00,76,Achievement/Effort — Job requires establishing and maintaining personally challenging achievement goals and exerting effort toward mastering tasks.
6682,43-4081.00,75,Persistence — Job requires persistence in the face of obstacles.
6683,43-4081.00,73,"Social Orientation — Job requires preferring to work with others rather than alone, and being personally connected with others on the job."
6684,43-4081.00,72,Initiative — Job requires a willingness to take on responsibilities and challenges.
6685,43-4081.00,70,"Leadership — Job requires a willingness to lead, take charge, and offer opinions and direction."
6686,43-4081.00,61,Analytical Thinking — Job requires analyzing information and using logic to address work-related issues and problems.
6687,43-4081.00,57,Innovation — Job requires creativity and alternative thinking to develop new ideas for and answers to work-related problems.
6688,17-2112.01,88,"Dependability — Job requires being reliable, responsible, and dependable, and fulfilling obligations."
6689,17-2112.01,87,Analytical Thinking — Job requires analyzing information and using logic to address work-related issues and problems.
6690,17-2112.01,86,Integrity — Job requires being honest and ethical.
6691,17-2112.01,85,Attention to Detail — Job requires being careful about detail and thorough in completing work tasks.
6692,17-2112.01,81,"Cooperation — Job requires being pleasant with others on the job and displaying a good-natured, cooperative attitude."
6693,17-2112.01,80,Adaptability/Flexibility — Job requires being open to change (positive or negative) and to considerable variety in the workplace.
6694,17-2112.01,78,Initiative — Job requires a willingness to take on responsibilities and challenges.
6695,17-2112.01,78,Persistence — Job requires persistence in the face of obstacles.
6696,17-2112.01,75,Concern for Others — Job requires being sensitive to others' needs and feelings and being understanding and helpful on the job.
6697,17-2112.01,75,Stress Tolerance — Job requires accepting criticism and dealing calmly and effectively with high-stress situations.
6698,17-2112.01,72,Achievement/Effort — Job requires establishing and maintaining personally challenging achievement goals and exerting effort toward mastering tasks.
6699,17-2112.01,72,"Self-Control — Job requires maintaining composure, keeping emotions in check, controlling anger, and avoiding aggressive behavior, even in very difficult situations."
6700,17-2112.01,66,"Independence — Job requires developing one's own ways of doing things, guiding oneself with little or no supervision, and depending on oneself to get things done."
6701,17-2112.01,64,Innovation — Job requires creativity and alternative thinking to develop new ideas for and answers to work-related problems.
6702,17-2112.01,64,"Leadership — Job requires a willingness to lead, take charge, and offer opinions and direction."
6703,17-2112.01,60,"Social Orientation — Job requires preferring to work with others rather than alone, and being personally connected with others on the job."
6704,43-4161.00,86,Attention to Detail — Job requires being careful about detail and thorough in completing work tasks.
6705,43-4161.00,83,"Cooperation — Job requires being pleasant with others on the job and displaying a good-natured, cooperative attitude."
6706,43-4161.00,80,"Dependability — Job requires being reliable, responsible, and dependable, and fulfilling obligations."
6707,43-4161.00,80,Integrity — Job requires being honest and ethical.
6708,43-4161.00,76,Concern for Others — Job requires being sensitive to others' needs and feelings and being understanding and helpful on the job.
6709,43-4161.00,74,Adaptability/Flexibility — Job requires being open to change (positive or negative) and to considerable variety in the workplace.
6710,43-4161.00,70,Initiative — Job requires a willingness to take on responsibilities and challenges.
6711,43-4161.00,70,Stress Tolerance — Job requires accepting criticism and dealing calmly and effectively with high-stress situations.
6712,43-4161.00,68,"Independence — Job requires developing one's own ways of doing things, guiding oneself with little or no supervision, and depending on oneself to get things done."
6713,43-4161.00,68,"Self-Control — Job requires maintaining composure, keeping emotions in check, controlling anger, and avoiding aggressive behavior, even in very difficult situations."
6714,43-4161.00,64,Persistence — Job requires persistence in the face of obstacles.
6715,43-4161.00,64,"Social Orientation — Job requires preferring to work with others rather than alone, and being personally connected with others on the job."
6716,43-4161.00,62,Achievement/Effort — Job requires establishing and maintaining personally challenging achievement goals and exerting effort toward mastering tasks.
6717,43-4161.00,60,Analytical Thinking — Job requires analyzing information and using logic to address work-related issues and problems.
6718,43-4161.00,53,Innovation — Job requires creativity and alternative thinking to develop new ideas for and answers to work-related problems.
6719,43-4161.00,53,"Leadership — Job requires a willingness to lead, take charge, and offer opinions and direction."
6720,11-3121.00,97,Integrity — Job requires being honest and ethical.
6721,11-3121.00,93,"Self-Control — Job requires maintaining composure, keeping emotions in check, controlling anger, and avoiding aggressive behavior, even in very difficult situations."
6722,11-3121.00,91,"Leadership — Job requires a willingness to lead, take charge, and offer opinions and direction."
6723,11-3121.00,90,"Dependability — Job requires being reliable, responsible, and dependable, and fulfilling obligations."
6724,11-3121.00,89,"Cooperation — Job requires being pleasant with others on the job and displaying a good-natured, cooperative attitude."
6725,11-3121.00,89,Initiative — Job requires a willingness to take on responsibilities and challenges.
6726,11-3121.00,88,Stress Tolerance — Job requires accepting criticism and dealing calmly and effectively with high-stress situations.
6727,11-3121.00,85,Concern for Others — Job requires being sensitive to others' needs and feelings and being understanding and helpful on the job.
6728,11-3121.00,85,Persistence — Job requires persistence in the face of obstacles.
6729,11-3121.00,83,Adaptability/Flexibility — Job requires being open to change (positive or negative) and to considerable variety in the workplace.
6730,11-3121.00,78,Analytical Thinking — Job requires analyzing information and using logic to address work-related issues and problems.
6731,11-3121.00,77,Achievement/Effort — Job requires establishing and maintaining personally challenging achievement goals and exerting effort toward mastering tasks.
6732,11-3121.00,77,Attention to Detail — Job requires being careful about detail and thorough in completing work tasks.
6733,11-3121.00,73,"Social Orientation — Job requires preferring to work with others rather than alone, and being personally connected with others on the job."
6734,11-3121.00,70,"Independence — Job requires developing one's own ways of doing things, guiding oneself with little or no supervision, and depending on oneself to get things done."
6735,11-3121.00,65,Innovation — Job requires creativity and alternative thinking to develop new ideas for and answers to work-related problems.
6736,13-1071.00,91,Integrity — Job requires being honest and ethical.
6737,13-1071.00,90,"Cooperation — Job requires being pleasant with others on the job and displaying a good-natured, cooperative attitude."
6738,13-1071.00,89,Attention to Detail — Job requires being careful about detail and thorough in completing work tasks.
6739,13-1071.00,88,"Self-Control — Job requires maintaining composure, keeping emotions in check, controlling anger, and avoiding aggressive behavior, even in very difficult situations."
6740,13-1071.00,87,"Dependability — Job requires being reliable, responsible, and dependable, and fulfilling obligations."
6741,13-1071.00,86,Adaptability/Flexibility — Job requires being open to change (positive or negative) and to considerable variety in the workplace.
6742,13-1071.00,86,Stress Tolerance — Job requires accepting criticism and dealing calmly and effectively with high-stress situations.
6743,13-1071.00,84,Concern for Others — Job requires being sensitive to others' needs and feelings and being understanding and helpful on the job.
6744,13-1071.00,81,"Independence — Job requires developing one's own ways of doing things, guiding oneself with little or no supervision, and depending on oneself to get things done."
6745,13-1071.00,78,"Social Orientation — Job requires preferring to work with others rather than alone, and being personally connected with others on the job."
6746,13-1071.00,76,Analytical Thinking — Job requires analyzing information and using logic to address work-related issues and problems.
6747,13-1071.00,76,"Leadership — Job requires a willingness to lead, take charge, and offer opinions and direction."
6748,13-1071.00,74,Initiative — Job requires a willingness to take on responsibilities and challenges.
6749,13-1071.00,71,Persistence — Job requires persistence in the face of obstacles.
6750,13-1071.00,69,Innovation — Job requires creativity and alternative thinking to develop new ideas for and answers to work-related problems.
6751,13-1071.00,68,Achievement/Effort — Job requires establishing and maintaining personally challenging achievement goals and exerting effort toward mastering tasks.
6752,51-8013.04,87,"Dependability — Job requires being reliable, responsible, and dependable, and fulfilling obligations."
6753,51-8013.04,80,Attention to Detail — Job requires being careful about detail and thorough in completing work tasks.
6754,51-8013.04,75,Integrity — Job requires being honest and ethical.
6755,51-8013.04,74,Analytical Thinking — Job requires analyzing information and using logic to address work-related issues and problems.
6756,51-8013.04,73,"Independence — Job requires developing one's own ways of doing things, guiding oneself with little or no supervision, and depending on oneself to get things done."
6757,51-8013.04,72,"Self-Control — Job requires maintaining composure, keeping emotions in check, controlling anger, and avoiding aggressive behavior, even in very difficult situations."
6758,51-8013.04,71,"Cooperation — Job requires being pleasant with others on the job and displaying a good-natured, cooperative attitude."
6759,51-8013.04,71,Initiative — Job requires a willingness to take on responsibilities and challenges.
6760,51-8013.04,70,Stress Tolerance — Job requires accepting criticism and dealing calmly and effectively with high-stress situations.
6761,51-8013.04,69,Innovation — Job requires creativity and alternative thinking to develop new ideas for and answers to work-related problems.
6762,51-8013.04,69,Persistence — Job requires persistence in the face of obstacles.
6763,51-8013.04,68,Adaptability/Flexibility — Job requires being open to change (positive or negative) and to considerable variety in the workplace.
6764,51-8013.04,67,Concern for Others — Job requires being sensitive to others' needs and feelings and being understanding and helpful on the job.
6765,51-8013.04,61,Achievement/Effort — Job requires establishing and maintaining personally challenging achievement goals and exerting effort toward mastering tasks.
6766,51-8013.04,58,"Leadership — Job requires a willingness to lead, take charge, and offer opinions and direction."
6767,51-8013.04,48,"Social Orientation — Job requires preferring to work with others rather than alone, and being personally connected with others on the job."
6768,11-3051.06,88,"Dependability — Job requires being reliable, responsible, and dependable, and fulfilling obligations."
6769,11-3051.06,88,"Leadership — Job requires a willingness to lead, take charge, and offer opinions and direction."
6770,11-3051.06,87,Attention to Detail — Job requires being careful about detail and thorough in completing work tasks.
6771,11-3051.06,84,Integrity — Job requires being honest and ethical.
6772,11-3051.06,80,Analytical Thinking — Job requires analyzing information and using logic to address work-related issues and problems.
6773,11-3051.06,80,"Cooperation — Job requires being pleasant with others on the job and displaying a good-natured, cooperative attitude."
6774,11-3051.06,80,"Independence — Job requires developing one's own ways of doing things, guiding oneself with little or no supervision, and depending on oneself to get things done."
6775,11-3051.06,78,Initiative — Job requires a willingness to take on responsibilities and challenges.
6776,11-3051.06,78,Stress Tolerance — Job requires accepting criticism and dealing calmly and effectively with high-stress situations.
6777,11-3051.06,76,"Self-Control — Job requires maintaining composure, keeping emotions in check, controlling anger, and avoiding aggressive behavior, even in very difficult situations."
6778,11-3051.06,72,Persistence — Job requires persistence in the face of obstacles.
6779,11-3051.06,70,Achievement/Effort — Job requires establishing and maintaining personally challenging achievement goals and exerting effort toward mastering tasks.
6780,11-3051.06,70,Adaptability/Flexibility — Job requires being open to change (positive or negative) and to considerable variety in the workplace.
6781,11-3051.06,67,Innovation — Job requires creativity and alternative thinking to develop new ideas for and answers to work-related problems.
6782,11-3051.06,65,Concern for Others — Job requires being sensitive to others' needs and feelings and being understanding and helpful on the job.
6783,11-3051.06,53,"Social Orientation — Job requires preferring to work with others rather than alone, and being personally connected with others on the job."
6784,19-2043.00,89,Integrity — Job requires being honest and ethical.
6785,19-2043.00,88,Analytical Thinking — Job requires analyzing information and using logic to address work-related issues and problems.
6786,19-2043.00,84,Attention to Detail — Job requires being careful about detail and thorough in completing work tasks.
6787,19-2043.00,82,"Dependability — Job requires being reliable, responsible, and dependable, and fulfilling obligations."
6788,19-2043.00,77,Initiative — Job requires a willingness to take on responsibilities and challenges.
6789,19-2043.00,76,Achievement/Effort — Job requires establishing and maintaining personally challenging achievement goals and exerting effort toward mastering tasks.
6790,19-2043.00,74,"Cooperation — Job requires being pleasant with others on the job and displaying a good-natured, cooperative attitude."
6791,19-2043.00,73,Persistence — Job requires persistence in the face of obstacles.
6792,19-2043.00,66,Innovation — Job requires creativity and alternative thinking to develop new ideas for and answers to work-related problems.
6793,19-2043.00,65,Adaptability/Flexibility — Job requires being open to change (positive or negative) and to considerable variety in the workplace.
6794,19-2043.00,64,"Independence — Job requires developing one's own ways of doing things, guiding oneself with little or no supervision, and depending on oneself to get things done."
6795,19-2043.00,62,Stress Tolerance — Job requires accepting criticism and dealing calmly and effectively with high-stress situations.
6796,19-2043.00,61,"Leadership — Job requires a willingness to lead, take charge, and offer opinions and direction."
6797,19-2043.00,59,"Self-Control — Job requires maintaining composure, keeping emotions in check, controlling anger, and avoiding aggressive behavior, even in very difficult situations."
6798,19-2043.00,57,Concern for Others — Job requires being sensitive to others' needs and feelings and being understanding and helpful on the job.
6799,19-2043.00,38,"Social Orientation — Job requires preferring to work with others rather than alone, and being personally connected with others on the job."
6800,19-2041.03,94,Analytical Thinking — Job requires analyzing information and using logic to address work-related issues and problems.
6801,19-2041.03,84,Attention to Detail — Job requires being careful about detail and thorough in completing work tasks.
6802,19-2041.03,79,Integrity — Job requires being honest and ethical.
6803,19-2041.03,73,Initiative — Job requires a willingness to take on responsibilities and challenges.
6804,19-2041.03,73,Persistence — Job requires persistence in the face of obstacles.
6805,19-2041.03,72,Achievement/Effort — Job requires establishing and maintaining personally challenging achievement goals and exerting effort toward mastering tasks.
6806,19-2041.03,72,"Dependability — Job requires being reliable, responsible, and dependable, and fulfilling obligations."
6807,19-2041.03,72,Innovation — Job requires creativity and alternative thinking to develop new ideas for and answers to work-related problems.
6808,19-2041.03,69,"Independence — Job requires developing one's own ways of doing things, guiding oneself with little or no supervision, and depending on oneself to get things done."
6809,19-2041.03,68,"Cooperation — Job requires being pleasant with others on the job and displaying a good-natured, cooperative attitude."
6810,19-2041.03,63,Adaptability/Flexibility — Job requires being open to change (positive or negative) and to considerable variety in the workplace.
6811,19-2041.03,58,"Leadership — Job requires a willingness to lead, take charge, and offer opinions and direction."
6812,19-2041.03,54,"Self-Control — Job requires maintaining composure, keeping emotions in check, controlling anger, and avoiding aggressive behavior, even in very difficult situations."
6813,19-2041.03,53,Stress Tolerance — Job requires accepting criticism and dealing calmly and effectively with high-stress situations.
6814,19-2041.03,45,Concern for Others — Job requires being sensitive to others' needs and feelings and being understanding and helpful on the job.
6815,19-2041.03,34,"Social Orientation — Job requires preferring to work with others rather than alone, and being personally connected with others on the job."
6816,17-3026.00,84,Attention to Detail — Job requires being careful about detail and thorough in completing work tasks.
6817,17-3026.00,84,"Dependability — Job requires being reliable, responsible, and dependable, and fulfilling obligations."
6818,17-3026.00,83,Analytical Thinking — Job requires analyzing information and using logic to address work-related issues and problems.
6819,17-3026.00,79,Stress Tolerance — Job requires accepting criticism and dealing calmly and effectively with high-stress situations.
6820,17-3026.00,78,"Cooperation — Job requires being pleasant with others on the job and displaying a good-natured, cooperative attitude."
6821,17-3026.00,77,Integrity — Job requires being honest and ethical.
6822,17-3026.00,76,Initiative — Job requires a willingness to take on responsibilities and challenges.
6823,17-3026.00,75,"Self-Control — Job requires maintaining composure, keeping emotions in check, controlling anger, and avoiding aggressive behavior, even in very difficult situations."
6824,17-3026.00,73,"Independence — Job requires developing one's own ways of doing things, guiding oneself with little or no supervision, and depending on oneself to get things done."
6825,17-3026.00,72,Achievement/Effort — Job requires establishing and maintaining personally challenging achievement goals and exerting effort toward mastering tasks.
6826,17-3026.00,72,Persistence — Job requires persistence in the face of obstacles.
6827,17-3026.00,70,Adaptability/Flexibility — Job requires being open to change (positive or negative) and to considerable variety in the workplace.
6828,17-3026.00,70,Concern for Others — Job requires being sensitive to others' needs and feelings and being understanding and helpful on the job.
6829,17-3026.00,69,Innovation — Job requires creativity and alternative thinking to develop new ideas for and answers to work-related problems.
6830,17-3026.00,59,"Leadership — Job requires a willingness to lead, take charge, and offer opinions and direction."
6831,17-3026.00,53,"Social Orientation — Job requires preferring to work with others rather than alone, and being personally connected with others on the job."
