,code,detailed_work_activity
7600,15-1299.02,Train others in computer interface or software use.
7601,15-1299.02,Analyze Geographic Information Systems (GIS) data for use in green applications.
7602,15-1299.02,Conduct research to gain information about products or processes.
7603,15-1299.02,Design integrated computer systems.
7604,15-1299.02,Update knowledge about emerging industry or technology trends.
7605,25-1064.00,Develop instructional materials.
7606,25-1064.00,Teach physical science or mathematics courses at the college level.
7607,25-1064.00,Evaluate student work.
7608,25-1064.00,Research topics in area of expertise.
7609,25-1064.00,Administer tests to assess educational needs or progress.
7610,25-1064.00,Prepare tests.
7611,25-1064.00,"Write articles, books or other original materials in area of expertise."
7612,25-1064.00,Attend training sessions or professional meetings to develop or maintain professional knowledge.
7613,25-1064.00,Stay informed about current developments in field of specialization.
7614,25-1064.00,Guide class discussions.
7615,25-1064.00,Maintain student records.
7616,25-1064.00,Supervise student research or internship work.
7617,25-1064.00,Develop instructional objectives.
7618,25-1064.00,Evaluate effectiveness of educational programs.
7619,25-1064.00,Advise students on academic or career matters.
7620,25-1064.00,Supervise laboratory work.
7621,25-1064.00,Direct department activities.
7622,25-1064.00,Serve on institutional or departmental committees.
7623,25-1064.00,Write grant proposals.
7624,25-1064.00,Maintain computer equipment or software.
7625,25-1064.00,Order instructional or library materials or equipment.
7626,25-1064.00,Perform student enrollment or registration activities.
7627,25-1064.00,Promote educational institutions or programs.
7628,25-1064.00,Select educational materials or equipment.
7629,25-1064.00,Compile specialized bibliographies or lists of materials.
7630,25-1064.00,Plan community programs or activities for the general public.
7631,25-1064.00,"Advise educators on curricula, instructional methods, or policies."
7632,19-4043.00,Analyze geological samples.
7633,19-4043.00,Collect samples for analysis or testing.
7634,19-4043.00,Record research or operational data.
7635,19-4043.00,Prepare maps.
7636,19-4043.00,Operate laboratory or field equipment.
7637,19-4043.00,Supervise scientific or technical personnel.
7638,19-4043.00,Research geological features or processes.
7639,19-4043.00,Direct technical activities or operations.
7640,19-4043.00,Set up laboratory or field equipment.
7641,19-4043.00,Analyze geological or geographical data.
7642,19-4043.00,Collect archival data.
7643,19-4043.00,Calibrate scientific or technical equipment.
7644,19-4043.00,Maintain laboratory or technical equipment.
7645,19-4043.00,"Document events or evidence, using photographic or audiovisual equipment."
7646,19-4043.00,Locate natural resources using geospatial or other environmental data.
7647,19-4043.00,"Collect information from people through observation, interviews, or surveys."
7648,19-4043.00,Compile geographic or related data.
7649,19-4043.00,Research environmental impact of industrial or development activities.
7650,19-4043.00,Direct natural resources extraction projects.
7651,19-4043.00,Inspect equipment to ensure proper functioning.
7652,19-4043.00,Recommend packing or shipping methods.
7653,19-4043.00,Collaborate on research activities with scientists or technical specialists.
7654,19-4043.00,Collect environmental data or samples.
7655,19-4043.00,Collect geographical or geological field data.
7656,19-4043.00,Compile environmental or climatological data.
7657,19-4043.00,Survey land or properties.
7658,19-2042.00,Interpret research or operational data.
7659,19-2042.00,Analyze geological or geographical data.
7660,19-2042.00,Conduct research to gain information about products or processes.
7661,19-2042.00,Design research studies to obtain scientific information.
7662,19-2042.00,Research geological features or processes.
7663,19-2042.00,Prepare maps.
7664,19-2042.00,Measure environmental characteristics.
7665,19-2042.00,Analyze environmental data.
7666,19-2042.00,Communicate results of environmental research.
7667,19-2042.00,Instruct college students in physical or life sciences.
7668,19-2042.00,Prepare scientific or technical reports or presentations.
7669,19-2042.00,Inspect work sites to identify potential environmental or safety hazards.
7670,19-2042.00,Monitor construction operations.
7671,19-2042.00,Advise others on management of emergencies or hazardous situations or materials.
7672,19-2042.00,Locate natural resources using geospatial or other environmental data.
7673,19-2042.00,Advise others about environmental management or conservation.
7674,19-2042.00,Review professional literature to maintain professional knowledge.
7675,19-2042.00,"Proofread documents, records, or other files to ensure accuracy."
7676,19-2042.00,Review plans or proposals for environmental conservation.
7677,19-2042.00,Analyze geological samples.
7678,19-2042.00,Research hydrologic features or processes.
7679,19-2042.00,Develop plans to manage natural or renewable resources.
7680,19-2042.00,Determine methods to minimize environmental impact of activities.
7681,19-2042.00,Coordinate cross-disciplinary research programs.
7682,19-2042.00,Develop sustainable industrial or development methods.
7683,19-2042.00,Develop software or applications for scientific or technical use.
7684,19-2042.00,Research impacts of environmental conservation initiatives.
7685,11-3051.02,Direct green energy production operations.
7686,11-3051.02,Direct maintenance and repair activities in green energy production facilities.
7687,11-3051.02,Supervise workers performing environmentally sustainable activities.
7688,11-3051.02,Prepare forms or applications.
7689,11-3051.02,Prepare reports related to compliance matters.
7690,11-3051.02,"Negotiate contracts for environmental remediation, green energy, or renewable resources."
7691,11-3051.02,Communicate green energy production information.
7692,11-3051.02,Maintain green energy production plant equipment.
7693,11-3051.02,"Monitor green energy equipment, systems, or facilities."
7694,11-3051.02,Direct facility maintenance or repair activities.
7695,11-3051.02,Inspect operations of green energy facilities.
7696,11-3051.02,Implement organizational process or policy changes.
7697,11-3051.02,Prepare operational budgets for green energy or other green operations.
7698,11-3051.02,"Develop operating strategies, plans, or procedures for green or sustainable operations."
7699,11-3051.02,Maintain operational records for green energy processes or other environmentally-sustainable activities.
7700,11-3051.02,"Evaluate potential of products, technologies, or resources."
7701,49-9099.01,Adjust equipment to ensure optimal performance.
7702,49-9099.01,Document operational activities.
7703,49-9099.01,Maintain repair or maintenance records.
7704,49-9099.01,Repair green energy equipment or systems.
7705,49-9099.01,Troubleshoot equipment or systems operation problems.
7706,49-9099.01,"Install energy-efficient heating, ventilation, or air conditioning (HVAC) equipment."
7707,49-9099.01,Repair electronic equipment.
7708,49-9099.01,Calibrate equipment to specifications.
7709,49-9099.01,Maintain work equipment or machinery.
7710,49-9099.01,Develop equipment or component configurations.
7711,49-9099.01,"Determine types of equipment, tools, or materials needed for jobs."
7712,49-9099.01,Test mechanical equipment to ensure proper functioning.
7713,49-9099.01,"Service heating, ventilation or air-conditioning (HVAC) systems or components."
7714,49-9099.01,Operate welding equipment.
7715,49-9099.01,Test fluids to identify contamination or other problems.
7716,49-9099.01,Apply protective coverings to objects or surfaces near work areas.
7717,49-9099.01,Dig holes or trenches.
7718,49-9099.01,Install piping for installation or maintenance activities.
7719,49-9099.01,Pour materials into or on designated areas.
7720,49-9099.01,Move large objects using heavy equipment.
7721,51-9195.04,Place materials into molds.
7722,51-9195.04,Apply parting agents or other solutions to molds.
7723,51-9195.04,Heat material or workpieces to prepare for or complete production.
7724,51-9195.04,Measure dimensions of completed products or workpieces to verify conformance to specifications.
7725,51-9195.04,Weigh finished products.
7726,51-9195.04,Shape glass or similar materials.
7727,51-9195.04,Operate heating or drying equipment.
7728,51-9195.04,Select production input materials.
7729,51-9195.04,Record operational or production data.
7730,51-9195.04,Adjust temperature controls of ovens or other heating equipment.
7731,51-9195.04,Design jewelry or decorative objects.
7732,51-9195.04,"Melt metal, plastic, or other materials to prepare for production."
7733,51-9195.04,Maintain production or processing equipment.
7734,51-9195.04,Operate grinding equipment.
7735,51-9195.04,Repair production equipment or tools.
7736,51-9195.04,Replace worn equipment components.
7737,51-9195.04,Create diagrams or blueprints for workpieces or products.
7738,51-9195.04,Cut industrial materials in preparation for fabrication or processing.
7739,51-9195.04,Draw guide lines or markings on materials or workpieces using patterns or other references.
7740,51-9195.04,Mount materials or workpieces onto production equipment.
7741,51-9195.04,Remove products or workpieces from production equipment.
7742,47-2121.00,"Communicate with clients about products, procedures, and policies."
7743,47-2121.00,Install metal structural components.
7744,47-2121.00,Fabricate parts or components.
7745,47-2121.00,Verify alignment of structures or equipment.
7746,47-2121.00,Install doors or windows.
7747,47-2121.00,Apply material to fill gaps in surfaces.
7748,47-2121.00,Select construction materials.
7749,47-2121.00,Cut glass.
7750,47-2121.00,Measure materials or objects for installation or assembly.
7751,47-2121.00,Install wooden structural components.
7752,47-2121.00,Mark reference points on construction materials.
7753,47-2121.00,Smooth surfaces with abrasive materials or tools.
7754,47-2121.00,Review blueprints or specifications to determine work requirements.
7755,47-2121.00,Load or unload materials used in construction or extraction.
7756,47-2121.00,Drive trucks or truck-mounted equipment.
7757,47-2121.00,Install building fixtures.
7758,47-2121.00,Protect structures or surfaces near work areas to avoid damage.
7759,47-2121.00,"Operate cranes, hoists, or other moving or lifting equipment."
7760,47-2121.00,Trim excess material from installations.
7761,47-2121.00,"Remove worn, damaged or outdated materials from work areas."
7762,47-2121.00,Assemble temporary equipment or structures.
7763,47-2121.00,Dismantle equipment or temporary structures.
7764,47-2121.00,Cut metal components for installation.
7765,47-2121.00,Cut wood components for installation.
7766,47-2121.00,Apply decorative or textured finishes or coverings.
7767,47-2121.00,Apply adhesives to construction materials.
7768,47-2121.00,"Cut carpet, vinyl or other flexible materials."
7769,13-1041.04,Inform individuals or organizations of status or findings.
7770,13-1041.04,Investigate legal issues.
7771,13-1041.04,Review license or permit applications.
7772,13-1041.04,Verify accuracy of financial information.
7773,13-1041.04,Inspect facilities or equipment to ensure specifications are met.
7774,13-1041.04,Examine product information to ensure compliance with regulations.
7775,13-1041.04,Collect evidence for legal proceedings.
7776,13-1041.04,Communicate with government agencies.
7777,13-1041.04,Advise others on legal or regulatory compliance matters.
7778,13-1041.04,Testify at legal or legislative proceedings.
7779,13-1041.04,Coordinate enforcement of laws or regulations.
7780,13-1041.04,"Interview witnesses, suspects, or claimants."
7781,13-1041.04,Monitor organizational compliance with regulations.
7782,51-9022.00,"Polish materials, workpieces, or finished products."
7783,51-9022.00,Clean workpieces or finished products.
7784,51-9022.00,Smooth metal surfaces or edges.
7785,51-9022.00,Compare physical characteristics of materials or products to specifications or standards.
7786,51-9022.00,Measure dimensions of completed products or workpieces to verify conformance to specifications.
7787,51-9022.00,Operate grinding equipment.
7788,51-9022.00,Reshape metal workpieces to established specifications.
7789,51-9022.00,Remove products or workpieces from production equipment.
7790,51-9022.00,"Mark products, workpieces, or equipment with identifying information."
7791,51-9022.00,"Measure materials to mark reference points, cutting lines, or other indicators."
7792,51-9022.00,"Move products, materials, or equipment between work areas."
7793,51-9022.00,Trim excess material from workpieces.
7794,51-9022.00,Review blueprints or other instructions to determine operational methods or sequences.
7795,51-9022.00,Load materials into production equipment.
7796,51-9022.00,Mount materials or workpieces onto production equipment.
7797,51-9022.00,Sharpen cutting or grinding tools.
7798,51-9022.00,"Fill cracks, imperfections, or holes in products or workpieces."
7799,51-9022.00,Maintain production or processing equipment.
7800,51-9022.00,Repair production equipment or tools.
7801,51-9022.00,Record operational or production data.
7802,51-9022.00,Select production equipment according to product specifications.
7803,51-9022.00,Apply solutions to production equipment.
7804,51-9022.00,Clean production equipment.
7805,51-9022.00,Clean materials to prepare them for production.
7806,51-4033.00,Measure dimensions of completed products or workpieces to verify conformance to specifications.
7807,51-4033.00,Lay out parts to prepare for assembly.
7808,51-4033.00,Watch operating equipment to detect malfunctions.
7809,51-4033.00,Operate grinding equipment.
7810,51-4033.00,Read work orders or other instructions to determine product specifications or materials requirements.
7811,51-4033.00,Review blueprints or other instructions to determine operational methods or sequences.
7812,51-4033.00,Select production equipment according to product specifications.
7813,51-4033.00,"Calculate dimensions of workpieces, products, or equipment."
7814,51-4033.00,Mount attachments or tools onto production equipment.
7815,51-4033.00,Operate cutting equipment.
7816,51-4033.00,Reshape metal workpieces to established specifications.
7817,51-4033.00,Adjust equipment controls to regulate coolant flow.
7818,51-4033.00,Apply lubricants or coolants to workpieces.
7819,51-4033.00,Lift materials or workpieces using cranes or other lifting equipment.
7820,51-4033.00,Mount materials or workpieces onto production equipment.
7821,51-4033.00,Notify others of equipment repair or maintenance needs.
7822,51-4033.00,Repair production equipment or tools.
7823,51-4033.00,Replace worn equipment components.
7824,51-4033.00,"Maintain inventories of materials, equipment, or products."
7825,51-4033.00,Feed materials or products into or through equipment.
7826,51-4033.00,"Set equipment guides, stops, spacers, or other fixtures."
7827,39-5012.00,Clean facilities or work areas.
7828,39-5012.00,Clean tools or equipment.
7829,39-5012.00,Apply solutions to hair for therapeutic or cosmetic purposes.
7830,39-5012.00,Groom wigs or hairpieces.
7831,39-5012.00,Trim client hair.
7832,39-5012.00,Schedule appointments.
7833,39-5012.00,Demonstrate activity techniques or equipment use.
7834,39-5012.00,Maintain client information or service records.
7835,39-5012.00,"Promote products, services, or programs."
7836,39-5012.00,Sell products or services.
7837,39-5012.00,Assess skin or hair conditions.
7838,39-5012.00,Supervise service workers.
7839,39-5012.00,Train service staff.
7840,39-5012.00,"Apply cleansing or conditioning agents to client hair, scalp, or skin."
7841,39-5012.00,Administer therapeutic massages.
7842,39-5012.00,Operate cash registers.
7843,39-5012.00,Provide medical or cosmetic advice for clients.
7844,39-5012.00,"Order materials, supplies, or equipment."
7845,39-5012.00,Set up merchandise displays.
7846,39-5012.00,Administer basic health care or medical treatments.
7847,39-5012.00,Design costumes or cosmetic effects for characters.
7848,39-5012.00,"Treat nails by shaping, decorating, or augmenting."
7849,47-4041.00,Assemble temporary equipment or structures.
7850,47-4041.00,Prepare hazardous waste for processing or disposal.
7851,47-4041.00,Inspect work sites to identify potential environmental or safety hazards.
7852,47-4041.00,Record operational or environmental data.
7853,47-4041.00,"Operate cranes, hoists, or other moving or lifting equipment."
7854,47-4041.00,Drive trucks or truck-mounted equipment.
7855,47-4041.00,Load or unload materials used in construction or extraction.
7856,47-4041.00,Decontaminate equipment or sites to remove hazardous or toxic substances.
7857,47-4041.00,Mix substances or compounds needed for work activities.
7858,47-4041.00,Pour materials into or on designated areas.
7859,47-4041.00,Apply new technologies to improve work processes.
7860,17-2111.00,Investigate safety of work environment.
7861,17-2111.00,Research product safety.
7862,17-2111.00,Advise others on health and safety issues.
7863,17-2111.00,Teach safety standards or environmental compliance methods.
7864,17-2111.00,Update technical knowledge.
7865,17-2111.00,Document design or operational test results.
7866,17-2111.00,Maintain operational records or records systems.
7867,17-2111.00,"Explain engineering drawings, specifications, or other technical information."
7868,17-2111.00,Evaluate designs or specifications to ensure quality.
7869,17-2111.00,Prepare procedural documents.
7870,17-2111.00,Test facilities for environmental hazards.
7871,17-2111.00,Testify at legal or legislative proceedings.
7872,17-2111.00,Confer with technical personnel to prepare designs or operational plans.
7873,17-2111.00,"Develop safety standards, policies, or procedures."
7874,17-2111.00,Research human performance or health factors related to engineering or design activities.
7875,17-2111.00,Investigate the environmental impact of projects.
7876,17-2111.00,Design industrial equipment.
7877,17-2111.00,Fabricate devices or components.
7878,17-2111.00,Confer with other personnel to resolve design or operational problems.
7879,17-2111.00,Inspect facilities or sites to determine if they meet specifications or standards.
7880,17-2111.00,Direct installation activities.
7881,17-2111.00,Inspect equipment to ensure safety or proper functioning.
7882,17-2111.00,Inspect safety equipment to ensure proper functioning.
7883,17-2111.00,Install safety or support equipment.
7884,17-2111.00,Monitor work environment to ensure safety or adherence to specifications.
7885,21-1091.00,Provide educational materials to community members.
7886,21-1091.00,Develop working relationships with others to facilitate program activities.
7887,21-1091.00,Maintain social services program records.
7888,21-1091.00,Plan programs to address community health issues.
7889,21-1091.00,Present social services program information to the public.
7890,21-1091.00,Develop tools to diagnose or assess needs.
7891,21-1091.00,Assess individual or community needs for educational or social services.
7892,21-1091.00,Collect information about community health needs.
7893,21-1091.00,Supervise workers providing client or patient services.
7894,21-1091.00,Develop educational policies.
7895,21-1091.00,Evaluate the effectiveness of counseling or educational programs.
7896,21-1091.00,Advise others on social or educational issues.
7897,21-1091.00,Develop educational programs.
7898,21-1091.00,Train staff members in social services skills.
7899,15-1211.01,Communicate project information to others.
7900,15-1211.01,Apply information technology to solve business or other applied problems.
7901,15-1211.01,Design healthcare-related software applications.
7902,15-1211.01,Evaluate utility of software or hardware technologies.
7903,15-1211.01,Test computer system operations to ensure proper functioning.
7904,15-1211.01,Analyze health-related data.
7905,15-1211.01,Document operational activities.
7906,15-1211.01,Develop guidelines for system implementation.
7907,15-1211.01,Provide recommendations to others about computer hardware.
7908,15-1211.01,Develop computer or information security policies or procedures.
7909,15-1211.01,Implement security measures for computer or information systems.
7910,15-1211.01,Update knowledge about emerging industry or technology trends.
7911,15-1211.01,Train others in computer interface or software use.
7912,15-1211.01,Conduct research to gain information about products or processes.
7913,15-1211.01,Design research studies to obtain scientific information.
7914,15-1211.01,Install computer software.
7915,15-1211.01,Provide technical support for software maintenance or use.
7916,15-1211.01,Troubleshoot issues with computer applications or systems.
7917,29-9021.00,Code data or other information.
7918,29-9021.00,Classify materials according to standard systems.
7919,29-9021.00,"Collect medical information from patients, family members, or other medical professionals."
7920,29-9021.00,Communicate with management or other staff to resolve problems.
7921,29-9021.00,Create databases to store electronic data.
7922,29-9021.00,Develop procedures for data management.
7923,29-9021.00,Evaluate applicable laws and regulations to determine impact on organizational activities.
7924,29-9021.00,Gather medical information from patient histories.
7925,29-9021.00,Maintain medical facility records.
7926,29-9021.00,Maintain security.
7927,29-9021.00,Manage healthcare operations.
7928,29-9021.00,"Market products, services, or events."
7929,29-9021.00,Monitor external affairs or events affecting business operations.
7930,29-9021.00,Perform clerical work in medical settings.
7931,29-9021.00,Prepare healthcare training materials.
7932,29-9021.00,Present medical research reports.
7933,29-9021.00,Promote educational institutions or programs.
7934,29-9021.00,Recommend changes to improve computer or information systems.
7935,29-9021.00,Supervise medical support personnel.
7936,29-9021.00,Test computer hardware performance.
7937,29-9021.00,Test software performance.
7938,29-9021.00,Train caregivers or other non-medical personnel.
7939,25-1071.00,Develop instructional materials.
7940,25-1071.00,Attend training sessions or professional meetings to develop or maintain professional knowledge.
7941,25-1071.00,Stay informed about current developments in field of specialization.
7942,25-1071.00,Evaluate student work.
7943,25-1071.00,Supervise laboratory work.
7944,25-1071.00,Administer tests to assess educational needs or progress.
7945,25-1071.00,Maintain student records.
7946,25-1071.00,Prepare tests.
7947,25-1071.00,Teach physical science or mathematics courses at the college level.
7948,25-1071.00,Guide class discussions.
7949,25-1071.00,Direct department activities.
7950,25-1071.00,Develop instructional objectives.
7951,25-1071.00,Evaluate effectiveness of educational programs.
7952,25-1071.00,Supervise student research or internship work.
7953,25-1071.00,Perform student enrollment or registration activities.
7954,25-1071.00,Promote educational institutions or programs.
7955,25-1071.00,Order instructional or library materials or equipment.
7956,25-1071.00,Select educational materials or equipment.
7957,25-1071.00,Write grant proposals.
7958,25-1071.00,Advise students on academic or career matters.
7959,25-1071.00,Research topics in area of expertise.
7960,25-1071.00,Serve on institutional or departmental committees.
7961,25-1071.00,"Write articles, books or other original materials in area of expertise."
7962,25-1071.00,Compile specialized bibliographies or lists of materials.
7963,25-1071.00,Plan community programs or activities for the general public.
7964,25-1071.00,"Advise educators on curricula, instructional methods, or policies."
7965,21-1022.00,Intervene in crisis situations to assist clients.
7966,21-1022.00,Collaborate with other professionals to assess client needs or plan treatments.
7967,21-1022.00,Confer with clients to discuss treatment plans or progress.
7968,21-1022.00,Counsel clients or patients regarding personal issues.
7969,21-1022.00,Refer clients to community or social service programs.
7970,21-1022.00,Refer individuals to educational or work programs.
7971,21-1022.00,Investigate legal issues.
7972,21-1022.00,Develop treatment plans for patients or clients.
7973,21-1022.00,Maintain client records.
7974,21-1022.00,Monitor clients to evaluate treatment progress.
7975,21-1022.00,Collect information about clients.
7976,21-1022.00,Evaluate potential problems in home or work environments of clients.
7977,21-1022.00,"Interview clients to gather information about their backgrounds, needs, or progress."
7978,21-1022.00,Counsel clients or patients with substance abuse issues.
7979,21-1022.00,Counsel family members of clients or patients.
7980,21-1022.00,Modify treatment plans to accommodate client needs.
7981,21-1022.00,Supervise workers providing client or patient services.
7982,21-1022.00,Complete documentation required by programs or regulations.
7983,21-1022.00,Plan programs to address community health issues.
7984,21-1022.00,Advise others on social or educational issues.
7985,21-1022.00,Conduct research on social issues.
7986,29-2092.00,Instruct patients in the use of assistive equipment.
7987,29-2092.00,Advise patients on effects of health conditions or treatments.
7988,29-2092.00,Counsel family members of clients or patients.
7989,29-2092.00,Test patient hearing.
7990,29-2092.00,Adjust prostheses or other assistive devices.
7991,29-2092.00,Operate diagnostic or therapeutic medical instruments or equipment.
7992,29-2092.00,Repair medical facility equipment.
7993,29-2092.00,Fabricate medical devices.
7994,29-2092.00,Assist healthcare practitioners during examinations or treatments.
7995,29-2092.00,Diagnose medical conditions.
7996,29-2092.00,Treat chronic diseases or disorders.
7997,29-2092.00,Maintain medical or professional knowledge.
7998,51-4191.00,Review blueprints or other instructions to determine operational methods or sequences.
7999,51-4191.00,Study blueprints or other instructions to determine equipment setup requirements.
8000,51-4191.00,Determine metal or plastic production methods.
8001,51-4191.00,Record operational or production data.
8002,51-4191.00,Set up production or processing equipment.
8003,51-4191.00,Adjust temperature controls of ovens or other heating equipment.
8004,51-4191.00,"Inspect metal, plastic, or composite products."
8005,51-4191.00,Operate heating or drying equipment.
8006,51-4191.00,Signal others to coordinate work activities.
8007,51-4191.00,Load items into ovens or furnaces.
8008,51-4191.00,Remove products or workpieces from production equipment.
8009,51-4191.00,Adjust equipment controls to regulate gas flow.
8010,51-4191.00,Lift materials or workpieces using cranes or other lifting equipment.
8011,51-4191.00,Mount attachments or tools onto production equipment.
8012,51-4191.00,Mount materials or workpieces onto production equipment.
8013,51-4191.00,Heat material or workpieces to prepare for or complete production.
8014,51-4191.00,Position raw materials on processing or production equipment.
8015,51-4191.00,Instruct workers to use equipment or perform technical procedures.
8016,51-4191.00,Maintain production or processing equipment.
8017,51-4191.00,Repair production equipment or tools.
8018,51-4191.00,Replace worn equipment components.
8019,51-4191.00,Clean production equipment.
8020,51-4191.00,"Mark products, workpieces, or equipment with identifying information."
8021,51-4191.00,Load materials into production equipment.
8022,49-9021.00,Test electrical circuits or components for proper functioning.
8023,49-9021.00,"Service heating, ventilation or air-conditioning (HVAC) systems or components."
8024,49-9021.00,"Repair worn, damaged, or defective mechanical parts."
8025,49-9021.00,"Replace worn, damaged, or defective mechanical parts."
8026,49-9021.00,Confer with customers or users to assess problems.
8027,49-9021.00,"Install heating, ventilation, or air conditioning (HVAC) equipment."
8028,49-9021.00,Adjust equipment to ensure optimal performance.
8029,49-9021.00,Determine operational compliance with regulations or standards.
8030,49-9021.00,"Interpret blueprints, specifications, or diagrams to inform installation, development or operation activities."
8031,49-9021.00,Braze metal parts or components.
8032,49-9021.00,Connect electrical components or equipment.
8033,49-9021.00,Document operational activities.
8034,49-9021.00,Inspect systems to determine if they are operating properly.
8035,49-9021.00,"Install energy-efficient heating, ventilation, or air conditioning (HVAC) equipment."
8036,49-9021.00,Install machine or equipment replacement parts.
8037,49-9021.00,"Advise others on issues related to repairs, installation, or equipment design."
8038,49-9021.00,"Drill holes in parts, equipment, or materials."
8039,49-9021.00,Cut materials according to specifications or needs.
8040,49-9021.00,Measure distances or dimensions.
8041,49-9021.00,Maintain repair or maintenance records.
8042,49-9021.00,Install home appliances.
8043,49-9021.00,"Order materials, supplies, or equipment."
8044,49-9021.00,"Travel to work sites to perform installation, repair or maintenance work."
8045,49-9021.00,"Schedule repair, installation or maintenance activities."
8046,49-9021.00,Supervise employees.
8047,49-9021.00,Train others in operational procedures.
8048,49-9021.00,Lay out work according to specifications.
8049,49-9021.00,"Operate cranes, hoists, or other moving or lifting equipment."
8050,49-9021.00,Test mechanical systems to ensure proper functioning.
8051,53-3032.00,Inspect motor vehicles.
8052,53-3032.00,Follow safety procedures for vehicle operation.
8053,53-3032.00,Inspect cargo to ensure it is properly loaded or secured.
8054,53-3032.00,Record operational or production data.
8055,53-3032.00,Record service or repair activities.
8056,53-3032.00,Operate vehicles or material-moving equipment.
8057,53-3032.00,Secure cargo.
8058,53-3032.00,Monitor cargo area conditions.
8059,53-3032.00,"Notify others of emergencies, problems, or hazards."
8060,53-3032.00,Report vehicle or equipment malfunctions.
8061,53-3032.00,Collect fares or payment from customers.
8062,53-3032.00,Review documents or materials for compliance with policies or regulations.
8063,53-3032.00,Review work orders or schedules to determine operations or procedures.
8064,53-3032.00,Verify information or specifications.
8065,53-3032.00,Connect cables or electrical lines.
8066,53-3032.00,Inspect cargo areas for cleanliness or condition.
8067,53-3032.00,Maintain vehicles in good working condition.
8068,53-3032.00,Read maps to determine routes.
8069,53-3032.00,Acquire supplies or equipment.
8070,53-3032.00,Package materials or products.
8071,53-3032.00,Operate communications equipment or systems.
8072,53-3032.00,Adjust routes or speeds as necessary.
8073,53-3032.00,Choose optimal transportation routes or speeds.
8074,53-3032.00,"Load shipments, belongings, or materials."
8075,53-3032.00,Remove debris or damaged materials.
8076,53-3032.00,"Install parts, assemblies, or attachments in transportation or material handling equipment."
8077,53-3032.00,Operate green energy production equipment.
8078,53-3032.00,Direct material handling or moving activities.
8079,47-3011.00,Mix substances or compounds needed for work activities.
8080,47-3011.00,Assemble temporary equipment or structures.
8081,47-3011.00,"Cut tile, stone, or other masonry materials."
8082,47-3011.00,Assist skilled construction or extraction personnel.
8083,47-3011.00,Determine operational procedures.
8084,47-3011.00,Move construction or extraction materials to locations where they are needed.
8085,47-3011.00,Clean surfaces in preparation for work activities.
8086,47-3011.00,Maintain construction tools or equipment.
8087,47-3011.00,"Operate cranes, hoists, or other moving or lifting equipment."
8088,47-3011.00,Remove excess materials from finished construction projects.
8089,47-3011.00,Apply material to fill gaps in surfaces.
8090,47-3011.00,Apply sealants or other protective coatings.
8091,47-3011.00,Prepare surfaces for finishing.
8092,47-3011.00,"Remove worn, damaged or outdated materials from work areas."
8093,47-3012.00,Mark reference points on construction materials.
8094,47-3012.00,Clean equipment or facilities.
8095,47-3012.00,Install wooden structural components.
8096,47-3012.00,Measure materials or objects for installation or assembly.
8097,47-3012.00,Move construction or extraction materials to locations where they are needed.
8098,47-3012.00,Select construction equipment.
8099,47-3012.00,Select construction materials.
8100,47-3012.00,Drill holes in construction materials.
8101,47-3012.00,Cut wood components for installation.
8102,47-3012.00,Position structural components.
8103,47-3012.00,Position construction forms or molds.
8104,47-3012.00,Assemble temporary equipment or structures.
8105,47-3012.00,Build construction forms or molds.
8106,47-3012.00,Assist skilled construction or extraction personnel.
8107,47-3012.00,Install building fixtures.
8108,47-3012.00,Apply adhesives to construction materials.
8109,47-3012.00,Smooth surfaces with abrasive materials or tools.
8110,47-3012.00,"Cut carpet, vinyl or other flexible materials."
8111,47-3012.00,Compact materials to create level bases.
8112,47-3012.00,Finish concrete surfaces.
8113,47-3012.00,Install insulation in equipment or structures.
8114,47-3012.00,Apply protective coverings to objects or surfaces near work areas.
8115,47-3013.00,Cut metal components for installation.
8116,47-3013.00,Measure materials or objects for installation or assembly.
8117,47-3013.00,Test electrical equipment or systems to ensure proper functioning.
8118,47-3013.00,"Install electrical components, equipment, or systems."
8119,47-3013.00,Repair electrical equipment.
8120,47-3013.00,Inspect electrical or electronic systems for defects.
8121,47-3013.00,Thread wire or cable through ducts or conduits.
8122,47-3013.00,Fabricate parts or components.
8123,47-3013.00,Clean work sites.
8124,47-3013.00,Drill holes in construction materials.
8125,47-3013.00,Maintain construction tools or equipment.
8126,47-3013.00,Move construction or extraction materials to locations where they are needed.
8127,47-3013.00,Order construction or extraction materials or equipment.
8128,47-3013.00,Assemble temporary equipment or structures.
8129,47-3013.00,Dig holes or trenches.
8130,47-3013.00,Remove debris or vegetation from work sites.
8131,47-3013.00,Position construction or extraction equipment.
8132,47-3013.00,"Break up rock, asphalt, or concrete."
8133,47-3013.00,Weld metal components.
8134,47-3013.00,Apply paint to surfaces.
8135,47-5081.00,Assist skilled construction or extraction personnel.
8136,47-5081.00,Monitor extraction operations.
8137,47-5081.00,Drive trucks or truck-mounted equipment.
8138,47-5081.00,Load or unload materials used in construction or extraction.
8139,47-5081.00,Operate mining equipment.
8140,47-5081.00,Maintain drilling equipment.
8141,47-5081.00,Select construction materials.
8142,47-5081.00,Collect geological samples.
8143,47-5081.00,Signal equipment operators to indicate proper equipment positioning.
8144,47-5081.00,Clean work sites.
8145,47-5081.00,Dismantle equipment or temporary structures.
8146,47-5081.00,Prepare excavation or extraction sites for commissioning or decommissioning.
8147,47-5081.00,Load materials into construction equipment.
8148,47-5081.00,Dig holes or trenches.
