,Unnamed: 0,title,company,location,description,date_posted,link
420,420,Joint Faculty Position in Computer & Communication Sciences and Basic Sciences,EPFL,Switzerland,"The Schools of Computer and Communication Sciences (IC) and Basic Sciences (SB) at EPFL invite applications for a joint faculty position in all areas of quantum computing and quantum algorithms, and",about 9 hours ago,https://scholarshipdb.net/jobs-in-Switzerland/Joint-Faculty-Position-In-Computer-Communication-Sciences-And-Basic-Sciences-Epfl=2T7cPZFW7RGUYQAlkGUTnw.html
421,421,PhD Stipend in Edge computing offloading for PQC communication channels (8-22099),Aalborg University,Denmark,problem- and project-based learning model. Job description Quantum Computers are about to be accessible to the public. The ability for Quantum Computers to break classic cryptography protocols is pushing,28 days ago,https://scholarshipdb.net/scholarships-in-Denmark/Ph-D-Stipend-In-Edge-Computing-Offloading-For-Pqc-Communication-Channels-8-22099-Aalborg-University=VYivQydf7RGUYQAlkGUTnw.html
422,422,Temporary Industry Partnerships Coordinator,The University of Chicago,United States,Department PME Quantum Exchange About the Department The Chicago Quantum Exchange (CQE) is an intellectual hub and community of researchers with the common goal of advancing academic and,about 18 hours ago,https://scholarshipdb.net/jobs-in-United-States/Temporary-Industry-Partnerships-Coordinator-The-University-Of-Chicago=LGcnUolb7RGUYQAlkGUTnw.html
423,423,Cookie preferences,University of Southern Denmark,Denmark,of Engineering Odense 01/12/2022 Assistant Professor in Quantum Mathematics Faculty of Science Odense 03/01/2023 Assistant professors in Robotics Faculty of Engineering Odense 15/01/2023 Assistant Professors,about 4 hours ago,https://scholarshipdb.net/jobs-in-Denmark/Cookie-Preferences-University-Of-Southern-Denmark=6SQwDJNP7RGUYQAlkGUTnw.html
424,424,Postdoctoral Research Associate - Photon-based Spectroscopy,Oak Ridge National Laboratory,United States,solutions to compelling problems in energy and security. We are seeking a Postdoctoral Research Associate who will support the Quantum Heterostructures Group in the Materials Science and Technology Division,"Chicago, Illinois",https://scholarshipdb.net/jobs-in-United-States/Postdoctoral-Research-Associate-Photon-Based-Spectroscopy-Oak-Ridge-National-Laboratory=w88aM_FW7RGUYQAlkGUTnw.html
429,429,Graduate School Cluster of Excellence CUI: Advanced Imaging of Matter CUI: Advanced Imaging of Matter Graduate School,Universität Hamburg •,Germany,"of Mathematics, Informatics and Natural Sciences: Department of Physics Department of Chemistry and Biochemistry Research Topics: Quantum Physics, Condensed Matter, Ultrafast Imaging, X-Ray Science, Nanoscience","Hamburg, Hamburg",https://scholarshipdb.net/scholarships-in-Germany/Graduate-School-Cluster-Of-Excellence-Cui-Advanced-Imaging-Of-Matter-Cui-Advanced-Imaging-Of-Matter-Graduate-School-Universit-t-Hamburg=2hc7I9ti7RGUYQAlkGUTnw.html
430,430,"Research Initiation Grant (""Bolsa de Iniciação à Investigação"") – BII Nº2022/00145",Instituto de Telecomunicações,Portugal,/0001/2021. This project is funded by FCT/MEC through national funds. Scientific Area: Optical Communications Group: Optical Quantum Communications - Av Work Objectives: Contribute to the implementation,about 12 hours ago,https://scholarshipdb.net/scholarships-in-Portugal/Research-Initiation-Grant-Bolsa-De-Inicia-o-Investiga-o-Bii-N-2022-00145-Instituto-De-Telecomunica-es=XrD1s6Rf7RGUYQAlkGUTnw.html
431,431,Postdoc position in stochastic processes and stochastic control,Aarhus University,Denmark,“Stochastic optimal control: Designing dynamic nuclear polarization in large open quantum systems” to be carried out jointly with Professor Niels Christian Nielsen's research group at the Department,9 days ago,https://scholarshipdb.net/jobs-in-Denmark/Postdoc-Position-In-Stochastic-Processes-And-Stochastic-Control-Aarhus-University=TP682Hpi7RGUYQAlkGUTnw.html
432,432,Research Associate/Fellow in computational methods for high throughput design and manufacture for...,University of Nottingham,United Kingdom,physics Physics › Computational physics Physics › Condensed matter properties Physics › Electromagnetism Physics › Mathematical physics Physics › Optics Physics › Other Physics › Quantum mechanics Physics,about 21 hours ago,https://scholarshipdb.net/jobs-in-United-Kingdom/Research-Associate-Fellow-In-Computational-Methods-For-High-Throughput-Design-And-Manufacture-For-University-Of-Nottingham=mg7AkEpe7RGUYQAlkGUTnw.html
433,433,PhD Studentship: Theory of Molecules in Nanoplasmonic Cavities,University of Birmingham ;,United Kingdom,"far it is not well know how this process emerges, and how one can control it. This PhD project will focus on developing the necessary theoretical tools, using cavity quantum electrodynamic descriptions","Nottingham, Scotland",https://scholarshipdb.net/scholarships-in-United-Kingdom/Ph-D-Studentship-Theory-Of-Molecules-In-Nanoplasmonic-Cavities-University-Of-Birmingham=ip4H81ZW7RGUYQAlkGUTnw.html
434,434,postdoc position in theoretical condensed matter,Physics,Israel,"materials, and measurements of quantum entanglement. Close collaboration with experimental groups of the ERC synergy collaboration [Klaus Ensslin (ETH), Josh Folk (UBC), Frederic Pierre (Paris)] and elsewhere",10 days ago,https://scholarshipdb.net/jobs-in-Israel/Postdoc-Position-In-Theoretical-Condensed-Matter-Physics=OPgOwcBh7RGUYQAlkGUTnw.html
435,435,Postdoctoral Research Associate- Autonomous Scanning Tunneling…,Oak Ridge National Laboratory (ORNL),United States,"the structural and electronic behavior of quantum materials. This position resides in the Data Nanoanalytics group in the Nanomaterials Characterization section, Center for Nanophase Materials Sciences (CNMS","Birmingham, England",https://scholarshipdb.net/jobs-in-United-States/Postdoctoral-Research-Associate-Autonomous-Scanning-Tunneling-Oak-Ridge-National-Laboratory-Ornl=9YQzQSNg7RGUYQAlkGUTnw.html
436,436,Postdoctoral position in Theoretical High Energy Physics,Department of Physics,United States,". The interests of our group cover areas of particle physics, effective field theory, cosmology, gravity, quantum field theory, quantum information, and research connecting high energy physics and condensed matter",19 days ago,https://scholarshipdb.net/jobs-in-United-States/Postdoctoral-Position-In-Theoretical-High-Energy-Physics-Department-Of-Physics=notytalc7RGUYQAlkGUTnw.html
437,437,Computational Mathematician,Argonne,United States,"-free methods Numerical methods for ordinary and partial differential equations including error estimators and adjoints Automatic/algorithmic differentiation Quantum information sciences, including",about 16 hours ago,https://scholarshipdb.net/jobs-in-United-States/Computational-Mathematician-Argonne=mwTg9QZm7RGUYQAlkGUTnw.html
438,438,PhD Position in Tunable Metasurfaces for Analog Image Processing,University of Amsterdam (UvA),Netherlands,"ambitious PhD candidate to perform fundamental research at the interface of nanophotonics and two-dimensional (2D) quantum materials for the project ""Tunable metasurfaces for analog image processing"". Optical","Oak Ridge, Tennessee",https://scholarshipdb.net/scholarships-in-Netherlands/Ph-D-Position-In-Tunable-Metasurfaces-For-Analog-Image-Processing-University-Of-Amsterdam-Uv-A=CkwJ0JpU7RGUYQAlkGUTnw.html
444,444,Assistant / Associate / Full Professor in Applied Physics 2022 / 23,KING ABDULLAH UNIVERSITY OF SCIENCE & TECHNOLOGY,Saudi Arabia,"areas: Quantum Materials and Phenomena such as, but not limited to, strongly correlated materials, multiferroics, complex oxides, superconductors, topological materials, quantum computing, quantum",24 days ago,https://scholarshipdb.net/jobs-in-Saudi-Arabia/Assistant-Associate-Full-Professor-In-Applied-Physics-2022-23-King-Abdullah-University-Of-Science-Technology=xnJrHTlQ7RGUYQAlkGUTnw.html
445,445,Project Leader – European Synthetic Cell Initiative,Delft University of Technology (TU Delft),Netherlands,"of Applied Sciences is an inspiring scientific ecosystem. Focusing on key enabling technologies, such as quantum- and nanotechnology, photonics, biotechnology, synthetic biology and materials for energy",about 2 hours ago,https://scholarshipdb.net/jobs-in-Netherlands/Project-Leader-European-Synthetic-Cell-Initiative-Delft-University-Of-Technology-Tu-Delft=STCGzFlg7RGUYQAlkGUTnw.html
446,446,Doctoral student in Physics,Karlstad University,Sweden,". The theoretical physics group has a broad scope of interests encompassing research on material science, soft condensed matter, quantum phases of matter, high-energy and mathematical physics. The theory group is",about 5 hours ago,https://scholarshipdb.net/jobs-in-Sweden/Doctoral-Student-In-Physics-Karlstad-University=T5CCpQFV7RGUYQAlkGUTnw.html
447,447,Postdoctoral Researcher in Theoretical Particle Physics,University of Amsterdam,Netherlands,"at the University of Amsterdam is looking for a postdoctoral researcher interested in precision calculations of observables in the Standard Model and possible extensions, collider physics, quantum chromodynamics",9 days ago,https://scholarshipdb.net/jobs-in-Netherlands/Postdoctoral-Researcher-In-Theoretical-Particle-Physics-University-Of-Amsterdam=FD9KWIxe7RGUYQAlkGUTnw.html
448,448,Post-doc Position in Theoretical Particle Physics,University of Amsterdam,Netherlands,quantum field theory and early-universe calculations. You are a collaborative researcher who is interested in helping the supervision of PhD and Master students. You have a professional command of spoken,8 days ago,https://scholarshipdb.net/jobs-in-Netherlands/Post-Doc-Position-In-Theoretical-Particle-Physics-University-Of-Amsterdam=iQ0bPoxe7RGUYQAlkGUTnw.html
449,449,"HPC Engineer, User Assistance (Early Career)",Oak Ridge National Laboratory,United States,"-based Alpine parallel file system, and the disk/tape HPSS archival storage system.  NCCS serves multiple agencies including DOE, NOAA, and the Air Force.  The NCCS also supports the center’s Quantum","Oak Ridge, Tennessee",https://scholarshipdb.net/jobs-in-United-States/Hpc-Engineer-User-Assistance-Early-Career-Oak-Ridge-National-Laboratory=edCoym1Z7RGUYQAlkGUTnw.html
450,450,Louis-Hansen Foundation Assistant/Associate Professorship in Theoretical Physics,Niels Bohr International Academy,Denmark,"to either expand into new research areas, such as quantum information theory, or strengthen on-going programs, including Theoretical Astrophysics, Theoretical Particle Physics, Gravitational Physics, Particle",about 14 hours ago,https://scholarshipdb.net/jobs-in-Denmark/Louis-Hansen-Foundation-Assistant-Associate-Professorship-In-Theoretical-Physics-Niels-Bohr-International-Academy=pa2V-DZi7RGUYQAlkGUTnw.html
451,451,Research Associate,King's College London,United Kingdom,"The PDRA will be integrated in a UK-US collaborative project funded by BBSRC (UK) and NSF/Bio (US). The project immerses in the fascinating world of Quantum Biology, focusing on the understanding",about 6 hours ago,https://scholarshipdb.net/jobs-in-United-Kingdom/Anchor-Anchor-Research-Associate-Anchor-King-s-College-London=OqX9YRNb7RGUYQAlkGUTnw.html
452,452,Research Scholarship (“Bolsa de Investigação” ) - BI/ Nº2022/00144,Instituto de Telecomunicações,Portugal,. This project is funded by FCT/MEC through national funds. Scientific Area: Optical Communications Group: Optical Quantum Communications – Av Work Objectives: The selected candidate will contribute to the design,"Strand, England",https://scholarshipdb.net/scholarships-in-Portugal/Research-Scholarship-Bolsa-De-Investiga-o-Bi-N-2022-00144-Instituto-De-Telecomunica-es=pgh4ipdb7RGUYQAlkGUTnw.html
453,453,Postdoc in Theory and Gravitational Wave Probes of Dense Matter Physics (1.0 FTE),Utrecht University,Netherlands,star binaries. You are going to work in the group of Tanja Hinderer and become member of the interdisciplinary Dutch consortium ‘Probing the phase diagram of quantum chromodynamics’. This is a,2 days ago,https://scholarshipdb.net/jobs-in-Netherlands/Postdoc-In-Theory-And-Gravitational-Wave-Probes-Of-Dense-Matter-Physics-1-0-Fte-Utrecht-University=gAYlsVBk7RGUYQAlkGUTnw.html
456,456,SEM/FIB Technician,University of British Columbia,Canada,"Operations | Quantum Matter Institute | Faculty of Science Compensation Range $28.05 - $32.95 CAD Hourly Posting End Date November 17, 2022 Note: Applications will be accepted until 11:59 PM on the day prior","Vancouver UBC, British Columbia",https://scholarshipdb.net/jobs-in-Canada/Sem-Fib-Technician-University-Of-British-Columbia=w47KCTpb7RGUYQAlkGUTnw.html
457,457,Post-doctoral position in dark matter search with ultracold atoms,Institute of Photonic Sciences,Luxembourg,. The successful candidate will be joining the Atomic Quantum Optics group led by Prof. Dr. Morgan Mitchell. Searches for new particles and forces using table-top experiments is an expanding frontier of fundamental,7 days ago,https://scholarshipdb.net/jobs-in-Luxembourg/Post-Doctoral-Position-In-Dark-Matter-Search-With-Ultracold-Atoms-Institute-Of-Photonic-Sciences=mGTPzS9f7RGUYQAlkGUTnw.html
458,458,PhD Research Fellow in Organometallic and homogeneous catalysis,University of Bergen,Norway,"water into ammonia. In general, the research group uses insights and predictions from quantum chemical calculations to design catalysts, and these catalysts are, next, synthesized and tested in",about 23 hours ago,https://scholarshipdb.net/jobs-in-Norway/Ph-D-Research-Fellow-In-Organometallic-And-Homogeneous-Catalysis-University-Of-Bergen=DpMCO-xi7RGUYQAlkGUTnw.html
459,459,Strategic Program Manager,Harvard University,United States,28-Oct-2022 Faculty of Arts and Sciences 60273BR Job Summary The Harvard Quantum Initiative in Science and Engineering (HQI) is a community of researchers with an intense interest in advancing,about 10 hours ago,https://scholarshipdb.net/jobs-in-United-States/Strategic-Program-Manager-Harvard-University=3zuZDNdW7RGUYQAlkGUTnw.html
460,460,Machine Learning Researchers and Engineers -- Computational…,D. E. Shaw Research,United States,"might include molecular dynamics, structural biology, medicinal chemistry, cheminformatics, and/or quantum chemistry, but specific knowledge of any of these areas is less critical than intellectual","Cambridge, Massachusetts",https://scholarshipdb.net/jobs-in-United-States/Machine-Learning-Researchers-And-Engineers-Computational-D-E-Shaw-Research=xwt2H0hf7RGUYQAlkGUTnw.html
461,461,Lorentz Medal,KNAW,Netherlands,", innovative work in theoretical physics over the previous two decades. Maldacena has made a major contribution to our understanding of the quantum physics of black holes. In 1997, he was the first to propose a",16 days ago,https://scholarshipdb.net/jobs-in-Netherlands/Lorentz-Medal-Knaw=q-Wd2Lli7RGUYQAlkGUTnw.html
462,462,POSTDOCTORAL RESEARCH ASSOCIATE IN THEORETICAL PHYSICS,University of Liverpool,United Kingdom,The Fundamental Particle Physics group in the Department of Mathematical Sciences at the University of Liverpool invites applications for a Postdoctoral Research Associate in Quantum Field Theory,"New York City, New York",https://scholarshipdb.net/jobs-in-United-Kingdom/Postdoctoral-Research-Associate-In-Theoretical-Physics-University-Of-Liverpool=SKZRxBZa7RGUYQAlkGUTnw.html
463,463,Postdoctoral Researcher,Interfaces and Defects Group,United States,"Areas: Theoretical Physics / Condensed matter theory , Conformal Field Theory , General relativity , Gravity, Quantum Information, Cosmology , Holographic Dualities , Mathematical physics , Quantum",5 days ago,https://scholarshipdb.net/jobs-in-United-States/Postdoctoral-Researcher-Interfaces-And-Defects-Group=I_XkgsBQ7RGUYQAlkGUTnw.html
464,464,Post-Doctoral Associate in the Division of Science (Mathematics) Dr. Marwa Banna,NEW YORK UNIVERSITY ABU DHABI,United Kingdom,"Free probability theory High-dimensional probability, concentration and functional inequalities Mathematical aspects of machine learning and deep neural networks Free Probability aspects of Quantum",about 20 hours ago,https://scholarshipdb.net/jobs-in-United-Kingdom/Post-Doctoral-Associate-In-The-Division-Of-Science-Mathematics-Dr-Marwa-Banna-New-York-University-Abu-Dhabi=d3yNT15m7RGUYQAlkGUTnw.html
465,465,Research Assistant/Senior Research Assistant/Research Fellow in condensed-matter atomic clocks - 0556-22R-R,Lancaster University,United Kingdom,"to clock technology. The project exploits spin resonance in nitrogen endofullerene molecules, whose spin states possess long quantum coherence times and therefore a well-defined transition frequency even at","Liverpool, England",https://scholarshipdb.net/jobs-in-United-Kingdom/Research-Assistant-Senior-Research-Assistant-Research-Fellow-In-Condensed-Matter-Atomic-Clocks-0556-22-R-R-Lancaster-University=wlzUj-Nj7RGUYQAlkGUTnw.html
472,472,Postdoctoral Research Fellow in Theoretical/Computational Physics,University of Oslo,Norway,-order calculations in quantum field theory through the use of modern computational techniques. The successful applicant will also have the opportunity to become an active member of the GAMBIT Community,about 11 hours ago,https://scholarshipdb.net/jobs-in-Norway/Postdoctoral-Research-Fellow-In-Theoretical-Computational-Physics-University-Of-Oslo=6J_Dpfxi7RGUYQAlkGUTnw.html
473,473,Lecturer/Senior Lecturer in Future Optical Networks,University of Bristol ;,United Kingdom,"this leadership lie in High Performance Networks, Mobile Networks (5G/6G), Optical Networks, Data Centre Networks and Quantum Networks. This post will drive further the research excellence in the field of future","Bristol, England",https://scholarshipdb.net/jobs-in-United-Kingdom/Lecturer-Senior-Lecturer-In-Future-Optical-Networks-University-Of-Bristol=putSyeZO7RGUYQAlkGUTnw.html
474,474,Tenured/Tenure-Track Open Rank Professor - Physics,Saint Louis University,United States,"research portfolio of the School of Science and Engineering and Saint Louis University. We are particularly interested in the areas of molecular and/or quantum optics, quantum materials and quantum",about 1 month ago,https://scholarshipdb.net/jobs-in-United-States/Tenured-Tenure-Track-Open-Rank-Professor-Physics-Saint-Louis-University=2OqLRMlb7RGUYQAlkGUTnw.html
475,475,Project Scientist - Physics (CUSP2) - 1216-22,Lancaster University,United Kingdom,"Physical Sciences delivery team, based in the Quantum Technology Centre, Department of Physics. You will have a degree in physics, materials science or a related subject area and a have a desire to broaden","Saint Louis, Missouri",https://scholarshipdb.net/jobs-in-United-Kingdom/Project-Scientist-Physics-Cusp2-1216-22-Lancaster-University=_d3qsJdd7RGUYQAlkGUTnw.html
476,476,Research Fellow,The University of Southampton,United Kingdom,"on the project “Chaos and Coarse-Graining in Holography: Towards a New Paradigm for Quantum Gravity”, which is funded by a UKRI Frontier Research Grant (replacing an ERC Starting Grant with the same title",about 19 hours ago,https://scholarshipdb.net/jobs-in-United-Kingdom/Research-Fellow-The-University-Of-Southampton=jiokawVV7RGUYQAlkGUTnw.html
477,477,PhD position: Integrated photonic devices and circuits harnessing novel phenomenon,RMIT,Australia,"Directions,” IEEE Journal of Selected Topics in Quantum Electronics, 26 (2020). [4] Boes, A., Corcoran, B., Chang, L., Bowers, J., Mitchell, A., “Status and Potential of Lithium Niobate on Insulator (LNOI","Lancaster, England",https://scholarshipdb.net/scholarships-in-Australia/Ph-D-Position-Integrated-Photonic-Devices-And-Circuits-Harnessing-Novel-Phenomenon-Rmit=1aCpzKJk7RGUYQAlkGUTnw.html
478,478,PhD position: Programmable Silicon Photonics,RMIT,Australia,"centres and will eventually replace copper wires in computers. In addition, silicon photonics potentially can be used in many other applications, including bio-sensing, signal processing and quantum",1 day ago,https://scholarshipdb.net/scholarships-in-Australia/Ph-D-Position-Programmable-Silicon-Photonics-Rmit=CmU6xqJk7RGUYQAlkGUTnw.html
479,479,PhD position: Rainbows on Demand,RMIT,Australia,", quantum computing and ultra-fast optical fibre communications. We are looking for one highly motivated and passionate PhD student to become part of our team working with designers and ultrafast network","Southampton, England",https://scholarshipdb.net/scholarships-in-Australia/Ph-D-Position-Rainbows-On-Demand-Rmit=BmU6xqJk7RGUYQAlkGUTnw.html
480,480,"Research Fellow, Applied Mathematics and Theoretical Physics",UNIVERSITY OF SOUTHAMPTON,United Kingdom,"on the project “Chaos and Coarse-Graining in Holography: Towards a New Paradigm for Quantum Gravity”, which is funded by a UKRI Frontier Research Grant (replacing an ERC Starting Grant with the same title",about 16 hours ago,https://scholarshipdb.net/jobs-in-United-Kingdom/Research-Fellow-Applied-Mathematics-And-Theoretical-Physics-University-Of-Southampton=ez6APWRV7RGUYQAlkGUTnw.html
481,481,Tenured and Tenure-Track&RFIS-II at Jilin University…,Jilin University (JLU),China,"non-adiabatic method, computational program, etc; 2)molecular dynamics: including QM/MM method, multi-scale simulation of biological system, quantum dynamics theory method, etc; 3)quantum computational","Melbourne, Victoria",https://scholarshipdb.net/jobs-in-China/Tenured-And-Tenure-Track-Rfis-Ii-At-Jilin-University-Jilin-University-Jlu=ugQbKL9c7RGUYQAlkGUTnw.html
490,490,Professorship (W1) Theoretical Solid-State Physics,Technische Universität Dortmund,Germany,"of state-of-the art numerical methods and modern quantum simulations to many-body quantum systems in non-equilibrium and method development for quantum computers. In doing so, you participate in research","Dortmund, Nordrhein Westfalen",https://scholarshipdb.net/jobs-in-Germany/Professorship-W1-Theoretical-Solid-State-Physics-Technische-Universit-t-Dortmund=pxFsPqlQ7RGUYQAlkGUTnw.html
491,491,PhD Research Fellow in Organometallic and homogeneous catalysis,University of Bergen,Norway,"uses insights and predictions from quantum chemical calculations to design catalysts, and these catalysts are, next, synthesized and tested in the group's laboratory. We are looking for a research fellow",28 days ago,https://scholarshipdb.net/jobs-in-Norway/Ph-D-Research-Fellow-In-Organometallic-And-Homogeneous-Catalysis-University-Of-Bergen=Whk1RUVg7RGUYQAlkGUTnw.html
492,492,"Physics Finance, Purchasing and MasterCard Program Administrator",University of Toronto,Canada,", quantum optics, subatomic physics and astrophysics, through globally influential work in climate change, to the exciting emerging areas of quantum information, quantum materials, and biological physics",about 22 hours ago,https://scholarshipdb.net/jobs-in-Canada/Physics-Finance-Purchasing-And-Master-Card-Program-Administrator-University-Of-Toronto=2yNgO7pi7RGUYQAlkGUTnw.html
493,493,PhD position: On-surface organic nano-electronics,Monash University,Australia,facing fundamental challenges arising from quantum phenomena at the nanoscale. The design of next-generation electronic devices requires the development of radically new approaches to nanotechnology,"Downtown Toronto St James Park, Ontario",https://scholarshipdb.net/scholarships-in-Australia/Ph-D-Position-On-Surface-Organic-Nano-Electronics-Monash-University=wygI3dJj7RGUYQAlkGUTnw.html
494,494,"PhD position: 2D organic nanomaterials for future electronics, optoelectronics and spintronics",Monash University,Australia,", but are also facing fundamental challenges arising from quantum phenomena at the nanoscale. The design of next-generation electronic devices requires the development of radically new approaches",about 12 hours ago,https://scholarshipdb.net/scholarships-in-Australia/Ph-D-Position-2-D-Organic-Nanomaterials-For-Future-Electronics-Optoelectronics-And-Spintronics-Monash-University=eAnC0NJj7RGUYQAlkGUTnw.html
495,495,Junior Fellow – Diamond-Photonics platform for neuronal signalling studies,INL,Portugal,", chemists and bioengineering researchers that study light-matter interactions and their deployment in biomedical imaging, quantum sensing and light-based computation. Together with collaborators across",about 11 hours ago,https://scholarshipdb.net/jobs-in-Portugal/Junior-Fellow-Diamond-Photonics-Platform-For-Neuronal-Signalling-Studies-Inl=qcpdRRhk7RGUYQAlkGUTnw.html
496,496,"Research Initiation Grant (""Bolsa de Iniciação à Investigação"") – BII Nº2022/00153",Instituto de Telecomunicações,Portugal,/8017/2020. This project is funded by FCT/MEC through national funds. Scientific Area: Optical communications Group: Optical Quantum Communications – Av Work Objectives: Contribute to the design of web,about 11 hours ago,https://scholarshipdb.net/scholarships-in-Portugal/Research-Initiation-Grant-Bolsa-De-Inicia-o-Investiga-o-Bii-N-2022-00153-Instituto-De-Telecomunica-es=CqK2n4xk7RGUYQAlkGUTnw.html
497,497,Postdoctoral Research Associate - Chemistry,University of Washington,United States,": quantum computing, mathematical/scientific computing, correlated electronic structure, quantum dynamics, spectroscopy. Salary Range Base pay is commensurate with experience. Applicant Special Instructions",3 days ago,https://scholarshipdb.net/jobs-in-United-States/Postdoctoral-Research-Associate-Chemistry-University-Of-Washington=ePScvIVW7RGUYQAlkGUTnw.html
498,498,Postdoc in many-body theory for materials,TU Wien,Austria,"qualification in condensed matter theory, materials science, quantum chemistry or a related field, which should be awarded before the agreed starte date of the position. A solid command in many-body methods",1 day ago,https://scholarshipdb.net/jobs-in-Austria/Postdoc-In-Many-Body-Theory-For-Materials-Tu-Wien=VosTK5Zb7RGUYQAlkGUTnw.html
499,499,Postdoctoral Research Associate,The University of Edinburgh ;,United Kingdom,of the lattice formulation of quantum field theories and the Standard Model of particle physics Experience in C++ programming in UNIX environments Experience in delivering research results in an academic context,"Washington, District of Columbia",https://scholarshipdb.net/jobs-in-United-Kingdom/Postdoctoral-Research-Associate-The-University-Of-Edinburgh=-MCwPDNc7RGUYQAlkGUTnw.html
504,504,Post-Doctoral Research Visit F/M Computational methods for computing entanglement measures,Inria,France,"is active in the fields of software, distributed and high-performance computing, embedded systems, quantum computing and privacy in the digital world, but also in digital health and computational","Saint Jean de Braye, Centre",https://scholarshipdb.net/jobs-in-France/Post-Doctoral-Research-Visit-F-M-Computational-Methods-For-Computing-Entanglement-Measures-Inria=gSOKbwpi7RGUYQAlkGUTnw.html
505,505,Bonn-Cologne Graduate School of Physics and Astronomy: PhD in Physics Bonn-Cologne Graduate School: PhD in Physics,University of Bonn •,Germany,"applied and quantum optics, nuclear, and particle physics, physics of condensed matter, statistical physics, astroparticle physics, and mathematical physics. Course organisation All graduate studies",about 7 hours ago,https://scholarshipdb.net/scholarships-in-Germany/Bonn-Cologne-Graduate-School-Of-Physics-And-Astronomy-Ph-D-In-Physics-Bonn-Cologne-Graduate-School-Ph-D-In-Physics-University-Of-Bonn=zn8lWNZi7RGUYQAlkGUTnw.html
506,506,Post Doctoral Researcher,University of South Dakota,United States,well as the ability of these clusters to catalyze the reactions of small molecules. Specifically high-level quantum chemical calculations and neural network algorithms will be used to examine the nucleation mechanism,"Bonn, Nordrhein Westfalen",https://scholarshipdb.net/jobs-in-United-States/Post-Doctoral-Researcher-University-Of-South-Dakota=V3ceO3th7RGUYQAlkGUTnw.html
507,507,Research Grants and Finance Assistant,University of Toronto,Canada,", quantum optics, subatomic physics and astrophysics, through globally influential work in climate change, to the exciting emerging areas of quantum information, quantum materials, and biological physics",about 12 hours ago,https://scholarshipdb.net/jobs-in-Canada/Research-Grants-And-Finance-Assistant-University-Of-Toronto=Jo-kJBJh7RGUYQAlkGUTnw.html
508,508,Postdoctoral QUC Fellow(QUC Assistant professor) Position in Extra-galactic Astronomy and Cosmology,Korea Institute for Advanced Study,South Korea,The KIAS Quantum Universe Center invites applicants for QUC fellow(QUC Assistant professor) positions in the field of extra-galactic astronomy and observational cosmology.(Dark energy/dark matter,"Vermillion, South Dakota",https://scholarshipdb.net/jobs-in-South-Korea/Postdoctoral-Quc-Fellow-Quc-Assistant-Professor-Position-In-Extra-Galactic-Astronomy-And-Cosmology-Korea-Institute-For-Advanced-Study=Yr1q_AZj7RGUYQAlkGUTnw.html
509,509,PhD position in Balloon-borne MIR laser spectroscopy for water vapor isotopes in the upper atmosphere,Empa,Switzerland,"laser spectrometer to be flown on balloons and perform in-situ water vapor isotope measurements in the upper atmosphere and leverage on our expertise in quantum cascade laser driving, circular multipass",about 23 hours ago,https://scholarshipdb.net/scholarships-in-Switzerland/Ph-D-Position-In-Balloon-Borne-Mir-Laser-Spectroscopy-For-Water-Vapor-Isotopes-In-The-Upper-Atmosphere-Empa=LWlnxBFa7RGUYQAlkGUTnw.html
510,510,Post Doctoral Fellow - Chemistry,The University of Memphis,United States,at the molecular scale. The candidate should have experience in electronic structure theory method development and/or quantum dynamics simulations. This is a 1-year position with opportunities (subject to funding,"Downtown Toronto St James Park, Ontario",https://scholarshipdb.net/jobs-in-United-States/Post-Doctoral-Fellow-Chemistry-The-University-Of-Memphis=7UqQjwla7RGUYQAlkGUTnw.html
511,511,Research Assistant/Research Fellow,RMIT UNIVERSITY,Australia,for Quantum Computation and Communication Technology working with Dr Alberto Peruzzo in the Quantum Photonics Laboratory Open to candidates with background in Quantum Photonics technology Opportunities,about 11 hours ago,https://scholarshipdb.net/jobs-in-Australia/Research-Assistant-Research-Fellow-Rmit-University=Fykam_BY7RGUYQAlkGUTnw.html
512,512,"Postdoctoral Appointee - Computational Statistics, Applied Probability, Machine Learning",Argonne,United States,"effective algorithms for solving stochastic inverse problems in quantum chromodynamics and nuclear tomography. The incumbent will be part of a large team of applied mathematicians, statisticians","South Korea,",https://scholarshipdb.net/jobs-in-United-States/Postdoctoral-Appointee-Computational-Statistics-Applied-Probability-Machine-Learning-Argonne=uELE1ARm7RGUYQAlkGUTnw.html
513,513,Postdoctoral Appointee – Computational Modeling of Materials,Argonne,United States,of these systems. Position Requirements Applicants must have a recent PhD in physics/materials science/chemistry/chemical engineering or related field with 0-3 years of experience Knowledge of quantum mechanical,about 5 hours ago,https://scholarshipdb.net/jobs-in-United-States/Postdoctoral-Appointee-Computational-Modeling-Of-Materials-Argonne=j9R9BgNm7RGUYQAlkGUTnw.html
523,523,Postdoctoral Appointment – Emerging Materials Group,Argonne,United States,The Materials Science Division has an opening position for a postdoctoral appointee. The research project aims at the study of new quantum materials such as superconductors which involves,"Lemont, Illinois",https://scholarshipdb.net/jobs-in-United-States/Postdoctoral-Appointment-Emerging-Materials-Group-Argonne=Jyju7QFm7RGUYQAlkGUTnw.html
