,Unnamed: 0,title,company,location,description,date_posted,link
280,280,Research Associate (Postdoc) in SDN/NFV for Quantum Communications…,"Interdisciplinary Centre for Security, Reliability and Trust (SnT), University of Luxembourg",Luxembourg,Research Associate (Postdoc) in SDN/NFV for Quantum Communications Infrastructure Networks (Valid from 04/10/2022 to 06/12/2022) Language: English (UK) Country: Luxembourg Organisation,about 23 hours ago,https://scholarshipdb.net/jobs-in-Luxembourg/Research-Associate-Postdoc-In-Sdn-Nfv-For-Quantum-Communications-Interdisciplinary-Centre-For-Security-Reliability-And-Trust-Sn-T-University-Of-Luxembourg=sWewEMNc7RGUYQAlkGUTnw.html
281,281,"Assistant and Associate Professors in Quantum Circuits, Architectures and Technology",Delft University of Technology (TU Delft),Netherlands,"for your research, you’ll build your network of industrial and public partners. You’ll also be teaching Bachelor and Master students in quantum and non-quantum computing and supervising Master and PhD",8 days ago,https://scholarshipdb.net/jobs-in-Netherlands/Assistant-And-Associate-Professors-In-Quantum-Circuits-Architectures-And-Technology-Delft-University-Of-Technology-Tu-Delft=OHob_31R7RGUYQAlkGUTnw.html
282,282,Research Fellow,The University of Southampton,United Kingdom,"on the project “Chaos and Coarse-Graining in Holography: Towards a New Paradigm for Quantum Gravity”, which is funded by a UKRI Frontier Research Grant (replacing an ERC Starting Grant with the same title",24 days ago,https://scholarshipdb.net/jobs-in-United-Kingdom/Research-Fellow-The-University-Of-Southampton=jiokawVV7RGUYQAlkGUTnw.html
283,283,PhD in silicon photonics (M/F),CNRS,France,". The main intended applications of the research group are optical telecommunications/interconnects, microwave-photonics, biochemical and gas sensing, spectroscopy, quantum photonics, and datacom","Southampton, England",https://scholarshipdb.net/scholarships-in-France/Ph-D-In-Silicon-Photonics-M-F-Cnrs=xdvPafxg7RGUYQAlkGUTnw.html
284,284,"Research Fellow, Applied Mathematics and Theoretical Physics",UNIVERSITY OF SOUTHAMPTON,United Kingdom,"on the project “Chaos and Coarse-Graining in Holography: Towards a New Paradigm for Quantum Gravity”, which is funded by a UKRI Frontier Research Grant (replacing an ERC Starting Grant with the same title",about 16 hours ago,https://scholarshipdb.net/jobs-in-United-Kingdom/Research-Fellow-Applied-Mathematics-And-Theoretical-Physics-University-Of-Southampton=ez6APWRV7RGUYQAlkGUTnw.html
289,289,Postdoctoral position in quantum chemistry,"J. Heyrovský Institute of Physical Chemistry of the CAS, v. v. i.",Czech,negotiated) Requirements - PhD in physics or chemistry - expertise in quantum chemistry and method development - expertise in C++/Python programming - good publication record (4+ publications in high-impact,22 days ago,https://scholarshipdb.net/jobs-in-Czech/Postdoctoral-Position-In-Quantum-Chemistry-J-Heyrovsk-Institute-Of-Physical-Chemistry-Of-The-Cas-V-V-I=Xg_60ZNU7RGUYQAlkGUTnw.html
290,290,Postdoc in Experimental Quantum Magnetism,ETH Zurich,Switzerland,"a direct involvement of PhD and Masters students, whom the successful candidate will help supervise. Your profile The main requirements are a strong background in quantum solid state physics and",28 days ago,https://scholarshipdb.net/jobs-in-Switzerland/Postdoc-In-Experimental-Quantum-Magnetism-Eth-Zurich=ikWs8KtQ7RGUYQAlkGUTnw.html
291,291,Research Associate,King's College London,United Kingdom,"The PDRA will be integrated in a UK-US collaborative project funded by BBSRC (UK) and NSF/Bio (US). The project immerses in the fascinating world of Quantum Biology, focusing on the understanding","Strand, England",https://scholarshipdb.net/jobs-in-United-Kingdom/Anchor-Anchor-Research-Associate-Anchor-King-s-College-London=OqX9YRNb7RGUYQAlkGUTnw.html
292,292,"Assistant and Associate Professors in Quantum Circuits, Architectures and Technology",Delft University of Technology,Netherlands,"of industrial and public partners. You’ll also be teaching Bachelor and Master students in quantum and non-quantum computing and supervising Master and PhD students. In addition, you’ll play an active role in our",2 days ago,https://scholarshipdb.net/jobs-in-Netherlands/Assistant-And-Associate-Professors-In-Quantum-Circuits-Architectures-And-Technology-Delft-University-Of-Technology=RQUgJVtR7RGUYQAlkGUTnw.html
293,293,Doctoral Positions in Physics and Astronomy,The University of British Columbia (UBC),Canada,Condensed Matter Cosmology General Relativity Gravitational Waves High Energy/Particle Physics Medical Physics Nuclear physics Physics Education Quantum information String Theory Cosmology Extragalactic,4 days ago,https://scholarshipdb.net/jobs-in-Canada/Doctoral-Positions-In-Physics-And-Astronomy-The-University-Of-British-Columbia-Ubc=ULd77kVf7RGUYQAlkGUTnw.html
294,294,PhD position: Programmable Silicon Photonics,RMIT,Australia,"centres and will eventually replace copper wires in computers. In addition, silicon photonics potentially can be used in many other applications, including bio-sensing, signal processing and quantum","Vancouver Waterfront Coal Harbour Canada Place, British Columbia",https://scholarshipdb.net/scholarships-in-Australia/Ph-D-Position-Programmable-Silicon-Photonics-Rmit=CmU6xqJk7RGUYQAlkGUTnw.html
295,295,Max Planck School of Photonics – PhD Programme Max Planck School of Photonics – PhD Programme,Max Planck School of Photonics (MPSP) •,Germany,"(Biophysical Chemistry) and Munich (Quantum Optics); DESY, HI Jena, Leibniz Institute of Photonic Technologies Teaching language English Languages MPSP courses are held in English. Full-time / part-time full",5 days ago,https://scholarshipdb.net/scholarships-in-Germany/Max-Planck-School-Of-Photonics-Ph-D-Programme-Max-Planck-School-Of-Photonics-Ph-D-Programme-Max-Planck-School-Of-Photonics-Mpsp=1K6B9K1j7RGUYQAlkGUTnw.html
296,296,POSTDOCTORAL RESEARCH ASSOCIATE IN THEORETICAL PHYSICS,University of Liverpool,United Kingdom,The Fundamental Particle Physics group in the Department of Mathematical Sciences at the University of Liverpool invites applications for a Postdoctoral Research Associate in Quantum Field Theory,"Melbourne, Victoria",https://scholarshipdb.net/jobs-in-United-Kingdom/Postdoctoral-Research-Associate-In-Theoretical-Physics-University-Of-Liverpool=SKZRxBZa7RGUYQAlkGUTnw.html
297,297,PhD in photonic integrated devices for polarization control in silicon nitride (M/F),CNRS,France,". The main intended applications of the research group are optical telecommunications/interconnects, microwave-photonics, biochemical and gas sensing, spectroscopy, quantum photonics, and datacom",about 10 hours ago,https://scholarshipdb.net/scholarships-in-France/Ph-D-In-Photonic-Integrated-Devices-For-Polarization-Control-In-Silicon-Nitride-M-F-Cnrs=Iz6lffxg7RGUYQAlkGUTnw.html
298,298,Postdoc in Theory and Gravitational Wave Probes of Dense Matter Physics (1.0 FTE),Utrecht University,Netherlands,star binaries. You are going to work in the group of Tanja Hinderer and become member of the interdisciplinary Dutch consortium ‘Probing the phase diagram of quantum chromodynamics’. This is a,"Jena, Th ringen",https://scholarshipdb.net/jobs-in-Netherlands/Postdoc-In-Theory-And-Gravitational-Wave-Probes-Of-Dense-Matter-Physics-1-0-Fte-Utrecht-University=gAYlsVBk7RGUYQAlkGUTnw.html
305,305,Integrated Graduate College of the SFB/Transregio 185 (Bonn-Kaiserslautern): Open System Control of Atomic and Photonic Matter (OSCAR) Open System Control of Atomic and Photonic Matter (OSCAR),Technische Universität Kaiserslautern •,Germany,Degree PhD Teaching language English Languages Discussions are held in English (100%). Programme duration 8 semesters Beginning Only for doctoral programmes: any time Tuition fees per semester in,"Kaiserslautern, Rheinland Pfalz",https://scholarshipdb.net/scholarships-in-Germany/Integrated-Graduate-College-Of-The-Sfb-Transregio-185-Bonn-Kaiserslautern-Open-System-Control-Of-Atomic-And-Photonic-Matter-Oscar-Open-System-Control-Of-Atomic-And-Photonic-Matter-Oscar-Technische-Universit-t-Kaiserslautern=N3-Rm6pj7RGUYQAlkGUTnw.html
306,306,PhD in Nanophysics,Universität Münster,Germany,"for Solid State Theory, is offering a fully funded PhD studentship (tariff: 50% of 13 TV-L) for the duration of 3 years with teaching obligation of 2 hours a week. Your task: The research project aims",about 12 hours ago,https://scholarshipdb.net/scholarships-in-Germany/Ph-D-In-Nanophysics-Universit-t-M-nster=mClZ1wFZ7RGUYQAlkGUTnw.html
307,307,Lorentz Medal,KNAW,Netherlands,", innovative work in theoretical physics over the previous two decades. Maldacena has made a major contribution to our understanding of the quantum physics of black holes. In 1997, he was the first to propose a",about 2 hours ago,https://scholarshipdb.net/jobs-in-Netherlands/Lorentz-Medal-Knaw=q-Wd2Lli7RGUYQAlkGUTnw.html
308,308,SB – PhD postition in low-temperature scanning probe microscopy (W/M),EPFL,Switzerland,Your Mission Atomically precise low-dimensional nanostructures serve as ideal model systems to understand electronic quantum transport at reduced dimensions and ultimately create and control quantum,about 20 hours ago,https://scholarshipdb.net/scholarships-in-Switzerland/Sb-Ph-D-Postition-In-Low-Temperature-Scanning-Probe-Microscopy-W-M-Epfl=RONYn4VV7RGUYQAlkGUTnw.html
309,309,Postdoctoral Researcher,Interfaces and Defects Group,United States,"Areas: Theoretical Physics / Condensed matter theory , Conformal Field Theory , General relativity , Gravity, Quantum Information, Cosmology , Holographic Dualities , Mathematical physics , Quantum",about 17 hours ago,https://scholarshipdb.net/jobs-in-United-States/Postdoctoral-Researcher-Interfaces-And-Defects-Group=I_XkgsBQ7RGUYQAlkGUTnw.html
310,310,PhD position in Experimental Physics,Umeå University,Sweden,"PhD position for a project focusing on ultrafast charge and spin dynamics in nanoscale condensed matter. Last day to apply is December 15, 2022.  Starting date is February 1, 2023, or by agreement","Republic, Kansas",https://scholarshipdb.net/scholarships-in-Sweden/Ph-D-Position-In-Experimental-Physics-Ume-University=VPpDzwVi7RGUYQAlkGUTnw.html
311,311,Postdoc in many-body theory for materials,TU Wien,Austria,". The position is part of an FWF-ANR joint project with Cyril Martins (Université Toulouse III, France) and has connections to King's College London. Applicants should have a PhD or equivalent doctoral degree",about 16 hours ago,https://scholarshipdb.net/jobs-in-Austria/Postdoc-In-Many-Body-Theory-For-Materials-Tu-Wien=VosTK5Zb7RGUYQAlkGUTnw.html
312,312,Postdoctoral Research Associate,The University of Edinburgh ;,United Kingdom,"resources from the national supercomputing facility DiRAC. Your skills and attributes for success: PhD (awarded or near completion) in Physics, including Theoretical or Mathematical Physics Strong knowledge",about 17 hours ago,https://scholarshipdb.net/jobs-in-United-Kingdom/Postdoctoral-Research-Associate-The-University-Of-Edinburgh=-MCwPDNc7RGUYQAlkGUTnw.html
313,313,German-French Graduate College Statistical Physics of Complex Systems in Equilibrium and Non-Equilibrium Statistical Physics of Complex Systems,Leipzig University •,Germany,Hybrid Programme duration 6 semesters Beginning Only for doctoral programmes: any time Application deadline No specific deadlines Tuition fees per semester in EUR None Combined Master's degree / PhD,13 days ago,https://scholarshipdb.net/scholarships-in-Germany/German-French-Graduate-College-Statistical-Physics-Of-Complex-Systems-In-Equilibrium-And-Non-Equilibrium-Statistical-Physics-Of-Complex-Systems-Leipzig-University=UmN-fdhi7RGUYQAlkGUTnw.html
314,314,Postdoctoral Research Associate Cryo-EM on Quantum Materials,Brookhaven Lab,United States,"quantum materials. The goal of the research is to explore, understand, and control the novel physical mechanisms of quantum materials, including charge-spin-lattice interactions at a wide range of","Edinburgh, Scotland",https://scholarshipdb.net/jobs-in-United-States/Postdoctoral-Research-Associate-Cryo-Em-On-Quantum-Materials-Brookhaven-Lab=swwbYfhQ7RGUYQAlkGUTnw.html
320,320,Doctoral Candidate (PhD student) in Waveform Design for 6G Integrated Terrestrial/Non-Terrestrial Networks,University of Luxembourg,Luxembourg,"The Interdisciplinary Centre for Security, Reliability and Trust (SnT) invites applications from highly motivated PhD candidates in the general area of edge artificial intelligence (AI) for 6G",20 minutes ago,https://scholarshipdb.net/scholarships-in-Luxembourg/Doctoral-Candidate-Ph-D-Student-In-Waveform-Design-For-6-G-Integrated-Terrestrial-Non-Terrestrial-Networks-University-Of-Luxembourg=wVJhEC5f7RGUYQAlkGUTnw.html
321,321,"Postdoctoral Appointee - Computational Statistics, Applied Probability, Machine Learning",Argonne,United States,"effective algorithms for solving stochastic inverse problems in quantum chromodynamics and nuclear tomography. The incumbent will be part of a large team of applied mathematicians, statisticians","Lemont, Illinois",https://scholarshipdb.net/jobs-in-United-States/Postdoctoral-Appointee-Computational-Statistics-Applied-Probability-Machine-Learning-Argonne=uELE1ARm7RGUYQAlkGUTnw.html
322,322,Postdoctoral Appointee – Computational Modeling of Materials,Argonne,United States,of these systems. Position Requirements Applicants must have a recent PhD in physics/materials science/chemistry/chemical engineering or related field with 0-3 years of experience Knowledge of quantum mechanical,about 16 hours ago,https://scholarshipdb.net/jobs-in-United-States/Postdoctoral-Appointee-Computational-Modeling-Of-Materials-Argonne=j9R9BgNm7RGUYQAlkGUTnw.html
323,323,Postdoctoral Appointee - Numerical Optimization,Argonne,United States,"the design, analysis, and implementation of algorithms for solving optimization problems that arise in a variety scientific domains. Applications include, but are not limited to, problems in quantum","Lemont, Illinois",https://scholarshipdb.net/jobs-in-United-States/Postdoctoral-Appointee-Numerical-Optimization-Argonne=KxIMAAFm7RGUYQAlkGUTnw.html
324,324,Lecturer/Senior Lecturer in Future Optical Networks,University of Bristol ;,United Kingdom,"this leadership lie in High Performance Networks, Mobile Networks (5G/6G), Optical Networks, Data Centre Networks and Quantum Networks. This post will drive further the research excellence in the field of future",about 16 hours ago,https://scholarshipdb.net/jobs-in-United-Kingdom/Lecturer-Senior-Lecturer-In-Future-Optical-Networks-University-Of-Bristol=putSyeZO7RGUYQAlkGUTnw.html
325,325,Cryogenic devices for particle physics and quantum processors,INFN - Istituto Nazionale di Fisica Nucleare,Italy,"Applicants must hold an Italian or equivalent PhD degree in Mathematics, Engineering, Computer Science, Physics, Material Science obtained not earlier than 6 years before the call deadline Eligible","Lemont, Illinois",https://scholarshipdb.net/jobs-in-Italy/Cryogenic-Devices-For-Particle-Physics-And-Quantum-Processors-Infn-Istituto-Nazionale-Di-Fisica-Nucleare=Cj3t4wNS7RGUYQAlkGUTnw.html
326,326,Post-Doctoral Researcher for epitaxial CdTe Photovoltaics,National Renewable Energy Laboratory NREL,United States,"characterization such as high-resolution x-ray diffraction and Hall measurement.  Additional experience with characterization methods such as device testing under solar simulation, quantum efficiency, capacitance",about 16 hours ago,https://scholarshipdb.net/jobs-in-United-States/Post-Doctoral-Researcher-For-Epitaxial-Cd-Te-Photovoltaics-National-Renewable-Energy-Laboratory-Nrel=CNaS_R1l7RGUYQAlkGUTnw.html
327,327,Postdoctoral research fellowship,University of Sheffield,United Kingdom,", semiconductors, nanoscience, strong light-matter interaction, optical microcavities, nano-antennas, van der Waals materials, van der Waals heterostructures, moiré physics, single photon emitters, quantum materials","Bristol, England",https://scholarshipdb.net/jobs-in-United-Kingdom/Postdoctoral-Research-Fellowship-University-Of-Sheffield=OxFoWaVf7RGUYQAlkGUTnw.html
328,328,Post-Doctoral Research Visit F/M Computational methods for computing entanglement measures,Inria,France,: PhD or equivalent Fonction : Post-Doctoral Research Visit About the research centre or Inria department The Inria research centre in Lyon (previously the Lyon branch of the Inria centre in Grenoble) is,about 1 month ago,https://scholarshipdb.net/jobs-in-France/Post-Doctoral-Research-Visit-F-M-Computational-Methods-For-Computing-Entanglement-Measures-Inria=gSOKbwpi7RGUYQAlkGUTnw.html
329,329,Associate Professor in Post-quantum Cryptography,NORWEGIAN UNIVERSITY OF SCIENCE & TECHNOLOGY - NTNU,Norway,"associate professor in cryptology within our Cryptology Discipline. After six years of standardisation efforts to solicit, evaluate, and standardise one or more quantum-resistant public-key cryptographic",26 days ago,https://scholarshipdb.net/jobs-in-Norway/Associate-Professor-In-Post-Quantum-Cryptography-Norwegian-University-Of-Science-Technology-Ntnu=VlLf_BhR7RGUYQAlkGUTnw.html
337,337,Scientist for Ultrafast Spectroscopy (f/m/d),European XFEL,Germany,"of experimental techniques. For the SQS (Small Quantum Systems) scientific instrument, which is dedicated to investigations of non-linear phenomena and ultrafast dynamics in the gas phase, we","Schenefeld, Schleswig Holstein",https://scholarshipdb.net/jobs-in-Germany/Scientist-For-Ultrafast-Spectroscopy-F-M-D-European-Xfel=gAPOAfVg7RGUYQAlkGUTnw.html
338,338,Post Doctoral Researcher,University of South Dakota,United States,well as the ability of these clusters to catalyze the reactions of small molecules. Specifically high-level quantum chemical calculations and neural network algorithms will be used to examine the nucleation mechanism,5 days ago,https://scholarshipdb.net/jobs-in-United-States/Post-Doctoral-Researcher-University-Of-South-Dakota=V3ceO3th7RGUYQAlkGUTnw.html
339,339,Associate Professor in Post-quantum Cryptography,NTNU Norwegian University of Science and Technology,Norway,". Your PhD, or comparable academic work, must be within the field of post-quantum cryptography, and of particular interest are candidates with a documented academic track record within one or several","Vermillion, South Dakota",https://scholarshipdb.net/jobs-in-Norway/Associate-Professor-In-Post-Quantum-Cryptography-Ntnu-Norwegian-University-Of-Science-And-Technology=79i06aRQ7RGUYQAlkGUTnw.html
340,340,Postdocs (2) in Synergies between Tomography and Fusion Plasma,Technical University of Denmark,Denmark,"deep understanding on the physics of fusion plasmas, and preferably also have basic knowledge on commonly used numerical algorithms in inverse problems. As a formal qualification, you must hold a PhD",about 23 hours ago,https://scholarshipdb.net/jobs-in-Denmark/Postdocs-2-In-Synergies-Between-Tomography-And-Fusion-Plasma-Technical-University-Of-Denmark=xlWDjDtk7RGUYQAlkGUTnw.html
341,341,Post-doc Position in Theoretical Particle Physics,University of Amsterdam (UvA),Netherlands,have experience in quantum field theory and early-universe calculations. You are a collaborative researcher who is interested in helping the supervision of PhD and Master students. You have a,28 days ago,https://scholarshipdb.net/jobs-in-Netherlands/Post-Doc-Position-In-Theoretical-Particle-Physics-University-Of-Amsterdam-Uv-A=3VLea-Na7RGUYQAlkGUTnw.html
342,342,PhD Research Fellow in Machine Learning for Privacy and Security (ref 233998),University of Oslo,Norway,"-quantum cryptography, and ethical hacking. For more information and how to apply: https://www.jobbnorge.no/en/available-jobs/job/233998/phd-research-fellow-in-machine-learning-for-privacy-and-security",2 days ago,https://scholarshipdb.net/jobs-in-Norway/Ph-D-Research-Fellow-In-Machine-Learning-For-Privacy-And-Security-Ref-233998-University-Of-Oslo=00j5jvJO7RGUYQAlkGUTnw.html
343,343,Postdoctoral Research Fellow in Theoretical and Computational Chemistry,UiT The Arctic University of Norway,Norway,"The position A Postdoctoral Research Fellow position is available at the Department of Chemistry , Faculty of Sciene and Technology with the research group Hylleraas Centre for Quantum Molecular Sciences , a",14 days ago,https://scholarshipdb.net/jobs-in-Norway/Postdoctoral-Research-Fellow-In-Theoretical-And-Computational-Chemistry-Ui-T-The-Arctic-University-Of-Norway=PohbwC9i7RGUYQAlkGUTnw.html
344,344,Robust control of distributed parameter systems,University of Sheffield,United Kingdom,Robust control of distributed parameter systems Department of Automatic Control and Systems Engineering PhD Research Project Competition Funded Students Worldwide Dr A Selivanov Application Deadline,about 1 month ago,https://scholarshipdb.net/jobs-in-United-Kingdom/Robust-Control-Of-Distributed-Parameter-Systems-University-Of-Sheffield=SE9LBxBh7RGUYQAlkGUTnw.html
345,345,Postdoc position in two-dimensional material nanofabrication,Syddansk University,Denmark,"materials. The starting date for the position is March 1, 2023. The application deadline is November 30, 2022. The SuperQE project Single quantum emitters (SQEs) have become a versatile tool for developing",5 days ago,https://scholarshipdb.net/jobs-in-Denmark/Postdoc-Position-In-Two-Dimensional-Material-Nanofabrication-Syddansk-University=kDUxgKth7RGUYQAlkGUTnw.html
346,346,Associate Professor in Experimental Quantum Communications,NORWEGIAN UNIVERSITY OF SCIENCE & TECHNOLOGY - NTNU,Norway,favourable terms. NTNU is now announcing 16 tenure-track positions. About the position The focus of the tenure track position is to establish a research program addressing secure quantum communication. We,"Sheffield, England",https://scholarshipdb.net/jobs-in-Norway/Associate-Professor-In-Experimental-Quantum-Communications-Norwegian-University-Of-Science-Technology-Ntnu=Q1OPpRlR7RGUYQAlkGUTnw.html
350,350,PhD Scholarship in Metal-organic Nanostructure Engineering for Photonics,Technical University of Denmark,Denmark,"Do you want to support the production of advanced, well-defined nanostructure-based materials? A 3-year PhD scholarship in Organic Chemistry and Photophysical studies is available starting from",about 20 hours ago,https://scholarshipdb.net/scholarships-in-Denmark/Ph-D-Scholarship-In-Metal-Organic-Nanostructure-Engineering-For-Photonics-Technical-University-Of-Denmark=smuuqztk7RGUYQAlkGUTnw.html
351,351,Postdoctoral Research Assistant in Laboratory Searches for Fundamental Physics,University of Oxford,United Kingdom,"via quantum field fluctuations. While accelerator based searches at high energies have not yet found evidence of new physics, ultra-high intensity optical lasers and 4th generation light sources offer a","Oxford, England",https://scholarshipdb.net/jobs-in-United-Kingdom/Postdoctoral-Research-Assistant-In-Laboratory-Searches-For-Fundamental-Physics-University-Of-Oxford=twHD3yZT7RGUYQAlkGUTnw.html
352,352,Postdoctoral Appointee - Nuclear Physics,Argonne,United States,", Bayesian inference, high performance computing, artificial intelligence/machine learning, and quantum information science. About Argonne and the Physics Division: Argonne is a multidisciplinary science and",25 days ago,https://scholarshipdb.net/jobs-in-United-States/Postdoctoral-Appointee-Nuclear-Physics-Argonne=nTSfQThl7RGUYQAlkGUTnw.html
353,353,One PhD position (4 years) in real-time protection against collaborative attacks and IP scanning...,Delft University of Technology,Netherlands,", Reliability and Security (ARES 2020) Miscellaneous: This is a PhD position offered jointly by the Delft University of Technology (Quantum & Computer Engineering department) and the Hasso-Plattner-Institut","Lemont, Illinois",https://scholarshipdb.net/scholarships-in-Netherlands/One-Ph-D-Position-4-Years-In-Real-Time-Protection-Against-Collaborative-Attacks-And-Ip-Scanning-Delft-University-Of-Technology=M1SDXF9i7RGUYQAlkGUTnw.html
354,354,Research Assistant/Research Fellow,RMIT UNIVERSITY,Australia,for Quantum Computation and Communication Technology working with Dr Alberto Peruzzo in the Quantum Photonics Laboratory Open to candidates with background in Quantum Photonics technology Opportunities,about 16 hours ago,https://scholarshipdb.net/jobs-in-Australia/Research-Assistant-Research-Fellow-Rmit-University=Fykam_BY7RGUYQAlkGUTnw.html
355,355,Two doctoral students in scanning transmission electron microscopy (a),Empa,Switzerland,"techniques in materials science, and has currently two PhD positions available to carry out cutting-edge research in two different projects: The goal of the first project is to explore 4D-STEM (scanning",5 days ago,https://scholarshipdb.net/jobs-in-Switzerland/Two-Doctoral-Students-In-Scanning-Transmission-Electron-Microscopy-A-Empa=kMhKFVBV7RGUYQAlkGUTnw.html
356,356,Distinguished PKS Postdoctroal Fellow,Max Planck Institute for the Physics of Complex Systems,Germany,"and conduct independent studies e.g. in the following theoretical research fields: Ultracold gases and Rydberg physics, attosecond and ultrafast X-ray physics, quantum optics, condensed matter theory","Melbourne, Victoria",https://scholarshipdb.net/jobs-in-Germany/Distinguished-Pks-Postdoctroal-Fellow-Max-Planck-Institute-For-The-Physics-Of-Complex-Systems=LLcCf9NP7RGUYQAlkGUTnw.html
357,357,Postdoctoral Research Associate or more senior/Program on Science and Global Security,Princeton University,United States,"technologies such as artificial intelligence, autonomous systems, quantum technologies, platforms and sensors with continuous global coverage, and hypersonic, high-precision, maneuverable weapons. A recent PhD",16 days ago,https://scholarshipdb.net/jobs-in-United-States/Postdoctoral-Research-Associate-Or-More-Senior-Program-On-Science-And-Global-Security-Princeton-University=T-NslVpe7RGUYQAlkGUTnw.html
358,358,Research Assistant,RMIT University,Australia,"at other campuses of the University About the Role As the Research Assistant, you will be based at RMIT University, working on a Defence Next Generation Technology Fund (NGTF) Precision Quantum Sensing (PQS",about 17 hours ago,https://scholarshipdb.net/jobs-in-Australia/Research-Assistant-Rmit-University=nc_NBw9c7RGUYQAlkGUTnw.html
359,359,Postdoctoral Researcher in Theoretical Particle Physics,University of Amsterdam (UvA),Netherlands,"for a postdoctoral researcher interested in precision calculations of observables in the Standard Model and possible extensions, collider physics, quantum chromodynamics or related topics. Job description","Dresden, Sachsen",https://scholarshipdb.net/jobs-in-Netherlands/Postdoctoral-Researcher-In-Theoretical-Particle-Physics-University-Of-Amsterdam-Uv-A=1P9_hfNa7RGUYQAlkGUTnw.html
366,366,Open PhD position - Microscopy imaging and probing using high order mode fibres - DC7,MPIP,Germany,"The Super-Resolution Group of the Molecular Spectroscopy Department at Max Planck Institute for Polymer Research (MPIP), Mainz Germany is seeking a candidate for a PhD position to research multi","Mainz, Rheinland Pfalz",https://scholarshipdb.net/scholarships-in-Germany/Open-Ph-D-Position-Microscopy-Imaging-And-Probing-Using-High-Order-Mode-Fibres-Dc7-Mpip=YQWvO7Ze7RGUYQAlkGUTnw.html
367,367,PhD scholarship in Product and Production Architecture,Technical University of Denmark,Denmark,"The section of Engineering Design and Product Development, DTU Construct is searching for a strong PhD candidate within the area of product architecture. You will have a unique opportunity to work",9 days ago,https://scholarshipdb.net/scholarships-in-Denmark/Ph-D-Scholarship-In-Product-And-Production-Architecture-Technical-University-Of-Denmark=gWsM8Dpk7RGUYQAlkGUTnw.html
368,368,Post-doctoral fellow/researcher - ANR KASHMIR project - Developing broadband tunable mid-infrared...,CNRS,France,"ion spectroscopy (Near IR and Mid IR) - Judd-Ofelt modeling, - Quantum yield calculation - Characterization of the luminescence of light concentrators and PICs - Evaluation of their performance",about 20 hours ago,https://scholarshipdb.net/jobs-in-France/Post-Doctoral-Fellow-Researcher-Anr-Kashmir-Project-Developing-Broadband-Tunable-Mid-Infrared-Cnrs=7nZmkxNR7RGUYQAlkGUTnw.html
369,369,Scientific Employee (m/f/d) / PhD position / Theoretical & Computational Chemistry,Heinrich Heine University Düsseldorf,Germany,"controlling ISC from singlet to triplet and its reverse. Closely related to this highly topical research, a cross-curricular PhD training program is offered, taking into special consideration diverse scientific","Tremblay en France, le de France",https://scholarshipdb.net/scholarships-in-Germany/Scientific-Employee-M-F-D-Ph-D-Position-Theoretical-Computational-Chemistry-Heinrich-Heine-University-D-sseldorf=7H80l69a7RGUYQAlkGUTnw.html
370,370,PhD Programme in Optics & Photonics at the Karlsruhe School of Optics & Photonics (KSOP) PhD Programme in Optics & Photonics,Karlsruhe Institute of Technology •,Germany,programmes: any time Application deadline Application is possible at any time. Tuition fees per semester in EUR None Combined Master's degree / PhD programme No Joint degree / double degree programme No,27 days ago,https://scholarshipdb.net/scholarships-in-Germany/Ph-D-Programme-In-Optics-Photonics-At-The-Karlsruhe-School-Of-Optics-Photonics-Ksop-Ph-D-Programme-In-Optics-Photonics-Karlsruhe-Institute-Of-Technology=-pABZK9j7RGUYQAlkGUTnw.html
371,371,PhD position on Multi-Scale Modelling for Pharmaceutical Reactor Design,Katholieke Universiteit Leuven,Belgium,(ref. BAP-2022-747) Laatst aangepast : 28/10/2022 We offer a full-time PhD position in the CREaS group at the Department of Chemical Engineering at KU Leuven. Our core activities are related to (bio,"Germany,",https://scholarshipdb.net/scholarships-in-Belgium/Ph-D-Position-On-Multi-Scale-Modelling-For-Pharmaceutical-Reactor-Design-Katholieke-Universiteit-Leuven=Zr-w-5lZ7RGUYQAlkGUTnw.html
372,372,PhD Position in Cell-water Structure and Dynamics,University of Amsterdam,Netherlands,"living as if nothing happened. The physical and chemical mechanisms underlying this suspended metabolism are still a mystery. In this PhD project, you will help to solve this mystery by using state",14 days ago,https://scholarshipdb.net/scholarships-in-Netherlands/Ph-D-Position-In-Cell-Water-Structure-And-Dynamics-University-Of-Amsterdam=6DdvK4xe7RGUYQAlkGUTnw.html
373,373,"Faculty Positions at Institute of Physics (IOP), Chinese Academy of…","Institute of Physics (IOP), Chinese Academy of Sciences (CAS)",China,Associate Professors -Class A 1. PhD degree with research experience from a well-known overseas or domestic university or research institute. 2. Assistant Professor or equivalent level. 3. Significant,"Karlsruhe, Baden W rttemberg",https://scholarshipdb.net/jobs-in-China/Faculty-Positions-At-Institute-Of-Physics-Iop-Chinese-Academy-Of-Institute-Of-Physics-Iop-Chinese-Academy-Of-Sciences-Cas=ll_Dbr9c7RGUYQAlkGUTnw.html
